Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
p5.00_sc00001_p0006,p5.00_sc00039_p0099,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.120797,0.501713,0.240769,5.71937e-12
p5.00_sc00001_p0007,p5.00_sc00039_p0100,unM,unM,wgd,Same,unM-unM,0.116314,0.320302,0.363138,1.8952e-11
p5.00_sc00001_p0012,p5.00_sc00039_p0102,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0453911,0.250572,0.18115,5.16905e-21
p5.00_sc00001_p0018,p5.00_sc00039_p0106,unM,unM,wgd,Same,unM-unM,0.0843117,0.341357,0.24699,1.99539e-15
p5.00_sc00001_p0020,p5.00_sc00028_p0035,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.300702,1.70051,0.176831,2.69145e-21
p5.00_sc00001_p0029,p5.00_sc00039_p0113,unM,unM,wgd,Same,unM-unM,0.109991,0.242764,0.453079,5.658e-07
p5.00_sc00001_p0033,p5.00_sc00039_p0114,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.14135,0.236639,0.597324,0.0572128
p5.00_sc00001_p0038,p5.00_sc00039_p0115,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0423291,0.231212,0.183075,4.62327e-49
p5.00_sc00001_p0047,p5.00_sc00039_p0121,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0484772,0.302684,0.160158,7.36023e-17
p5.00_sc00001_p0053,p5.00_sc00039_p0126,unM,unM,wgd,Same,unM-unM,0.0777002,0.389771,0.199348,1.20028e-14
p5.00_sc00001_p0058,p5.00_sc00039_p0130,unM,unM,wgd,Same,unM-unM,0.221577,0.459306,0.482416,1.22582e-07
p5.00_sc00001_p0062,p5.00_sc00018_p0177,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0629219,0.962584,0.0653677,1.25629e-89
p5.00_sc00001_p0063,p5.00_sc00039_p0136,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.00523046,0.259437,0.0201608,4.95984e-34
p5.00_sc00001_p0067,p5.00_sc00039_p0138,unM,unM,wgd,Same,unM-unM,0.063356,0.666021,0.0951262,3.99305e-16
