Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Seita.1G007500,Seita.4G161400,teM,teM,wgd,Same,teM-teM,0.198667,0.284057,0.699391,0.163132
Seita.1G009100,Seita.4G162800,gbM,unM,wgd,Different,gbM-unM,0.188534,1.0143,0.185876,1.80869e-22
Seita.1G009800,Seita.4G163600,unM,unM,wgd,Same,unM-unM,0.415913,2.59547,0.160246,2.83314e-19
Seita.1G009900,Seita.4G164300,unM,unM,wgd,Same,unM-unM,0.152564,1.02998,0.148124,7.02587e-10
Seita.1G011900,Seita.4G164500,gbM,gbM,wgd,Same,gbM-gbM,0.0771499,1.36745,0.0564188,5.18576e-87
Seita.1G012000,Seita.4G164600,gbM,gbM,wgd,Same,gbM-gbM,0.329581,1.03955,0.317042,1.12834e-23
Seita.1G012500,Seita.4G165400,gbM,gbM,wgd,Same,gbM-gbM,0.272429,0.973714,0.279783,4.65769e-31
Seita.1G012600,Seita.4G165600,unM,unM,wgd,Same,unM-unM,0.216893,2.61206,0.0830356,1.56429e-18
Seita.1G012800,Seita.4G166100,gbM,gbM,wgd,Same,gbM-gbM,0.265241,1.63204,0.162521,2.24064e-48
Seita.1G013200,Seita.4G167700,unM,unM,wgd,Same,unM-unM,0.219506,3.94446,0.0556491,2.27145e-50
Seita.1G014100,Seita.4G167900,gbM,gbM,wgd,Same,gbM-gbM,0.244952,0.948678,0.258204,3.37309e-16
Seita.1G014200,Seita.4G168400,gbM,gbM,wgd,Same,gbM-gbM,0.152356,1.0458,0.145684,1.2179e-52
Seita.1G014500,Seita.4G168600,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.102743,2.12428,0.0483661,4.85001e-45
Seita.1G014700,Seita.4G168800,unM,unM,wgd,Same,unM-unM,0.43142,2.92772,0.147357,4.36749e-21
Seita.1G015000,Seita.4G169200,unM,unM,wgd,Same,unM-unM,0.198961,1.70118,0.116955,3.39802e-40
Seita.1G015300,Seita.4G169300,unM,unM,wgd,Same,unM-unM,0.502587,2.10041,0.239281,0.00010201
Seita.1G016000,Seita.4G170400,gbM,unM,wgd,Different,gbM-unM,0.135019,1.51539,0.0890987,1.52862e-43
Seita.1G018700,Seita.4G172000,unM,unM,wgd,Same,unM-unM,0.446796,2.84772,0.156896,2.56122e-09
Seita.1G019800,Seita.4G173400,unM,unM,wgd,Same,unM-unM,0.572326,1.0621,0.538864,0.00821829
Seita.1G020100,Seita.5G148000,gbM,gbM,wgd,Same,gbM-gbM,0.340403,1.92458,0.176871,1.98279e-59
Seita.1G020700,Seita.4G175200,gbM,unM,wgd,Different,gbM-unM,0.0887076,4.78068,0.0185554,1.25907e-255
Seita.1G020700,Seita.5G147000,gbM,unM,wgd,Different,gbM-unM,0.144392,4.78035,0.0302052,0
Seita.1G021500,Seita.4G175600,unM,unM,wgd,Same,unM-unM,0.341505,2.2893,0.149175,1.10061e-44
Seita.1G021900,Seita.4G175900,unM,unM,wgd,Same,unM-unM,0.225421,4.27697,0.0527058,1.66254e-78
Seita.1G022200,Seita.4G176600,unM,unM,wgd,Same,unM-unM,0.199865,3.56193,0.0561114,1.43118e-56
Seita.1G023300,Seita.4G177000,gbM,gbM,wgd,Same,gbM-gbM,0.0726574,1.12843,0.064388,1.73903e-66
Seita.1G024000,Seita.4G179600,unM,unM,wgd,Same,unM-unM,0.316858,2.77916,0.114012,1.41701e-13
Seita.1G024200,Seita.4G179700,gbM,gbM,wgd,Same,gbM-gbM,0.540381,2.94921,0.183229,1.44823e-40
Seita.1G024200,Seita.5G144200,gbM,gbM,wgd,Same,gbM-gbM,0.434136,4.75567,0.0912882,5.14269e-79
Seita.1G024600,Seita.4G180000,gbM,gbM,wgd,Same,gbM-gbM,0.196577,0.881801,0.222926,6.85099e-29
Seita.1G025100,Seita.5G143600,unM,unM,wgd,Same,unM-unM,0.211842,2.53679,0.0835078,1.70701e-14
Seita.1G026000,Seita.4G180200,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.187124,3.56435,0.0524986,2.16027e-38
Seita.1G026600,Seita.4G180600,unM,unM,wgd,Same,unM-unM,0.446274,3.56643,0.125132,2.31446e-24
Seita.1G027000,Seita.5G141600,unM,unM,wgd,Same,unM-unM,0.33469,1.64898,0.202968,1.60231e-15
Seita.1G027600,Seita.5G141000,unM,unM,wgd,Same,unM-unM,0.357387,3.41223,0.104737,1.49823e-14
Seita.1G027900,Seita.4G181400,gbM,gbM,wgd,Same,gbM-gbM,0.242907,1.00819,0.240934,4.35455e-59
Seita.1G028300,Seita.4G181700,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0223117,0.943875,0.0236384,1.70608e-19
Seita.1G028700,Seita.4G183100,unM,unM,wgd,Same,unM-unM,0.263761,4.54269,0.0580627,4.55737e-165
Seita.1G029000,Seita.4G184000,gbM,gbM,wgd,Same,gbM-gbM,0.18599,1.51392,0.122854,2.18919e-55
Seita.1G030200,Seita.4G184100,gbM,unM,wgd,Different,gbM-unM,0.56542,1.61334,0.350466,1.30687e-07
Seita.1G032500,Seita.4G233200,gbM,gbM,wgd,Same,gbM-gbM,0.0184031,1.35021,0.0136297,4.05438e-54
Seita.1G033000,Seita.4G233500,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.229373,1.21407,0.188929,5.86768e-41
Seita.1G033600,Seita.4G234100,unM,unM,wgd,Same,unM-unM,0.108952,4.29463,0.0253693,3.88755e-147
Seita.1G033800,Seita.4G234400,unM,unM,wgd,Same,unM-unM,0.316349,3.49688,0.090466,3.40178e-47
Seita.1G034100,Seita.4G234500,unM,unM,wgd,Same,unM-unM,0.222526,4.40075,0.0505654,4.21463e-86
Seita.1G034300,Seita.4G234900,gbM,gbM,wgd,Same,gbM-gbM,0.073454,0.908982,0.080809,1.03847e-49
Seita.1G034600,Seita.4G235200,unM,unM,wgd,Same,unM-unM,0.354247,2.59595,0.136462,1.60511e-25
Seita.1G034700,Seita.4G235800,gbM,gbM,wgd,Same,gbM-gbM,0.0137602,0.873833,0.015747,3.76112e-96
Seita.1G034900,Seita.4G237200,unM,unM,wgd,Same,unM-unM,0.364252,3.38225,0.107695,7.19524e-42
Seita.1G035000,Seita.4G237600,gbM,gbM,wgd,Same,gbM-gbM,0.138031,0.912393,0.151285,7.61977e-39
Seita.1G036700,Seita.4G232100,unM,unM,wgd,Same,unM-unM,0.296541,3.23173,0.0917592,1.75886e-27
Seita.1G037700,Seita.4G231000,gbM,gbM,wgd,Same,gbM-gbM,0.103344,1.73797,0.0594624,2.41867e-73
Seita.1G038000,Seita.4G230900,unM,unM,wgd,Same,unM-unM,0.170134,3.41009,0.0498914,0
Seita.1G038500,Seita.4G230100,gbM,unM,wgd,Different,gbM-unM,0.335873,1.70921,0.196508,3.189e-51
Seita.1G040200,Seita.4G227600,gbM,gbM,wgd,Same,gbM-gbM,0.055287,1.07883,0.0512473,3.89631e-132
Seita.1G040600,Seita.4G226400,gbM,gbM,wgd,Same,gbM-gbM,0.410709,1.76504,0.232691,1.83391e-33
Seita.1G042400,Seita.4G225400,unM,unM,wgd,Same,unM-unM,0.0720771,3.84905,0.018726,4.94244e-131
Seita.1G042500,Seita.4G225300,gbM,gbM,wgd,Same,gbM-gbM,0.0847913,0.991319,0.0855338,1.58469e-37
Seita.1G042600,Seita.4G225000,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0801928,1.24782,0.0642663,1.65241e-49
Seita.1G042800,Seita.4G224700,unM,unM,wgd,Same,unM-unM,0.110145,2.34502,0.0469696,4.0865e-80
Seita.1G043800,Seita.4G224000,unM,unM,wgd,Same,unM-unM,0.1097,2.39011,0.0458976,1.12881e-29
Seita.1G044100,Seita.4G223700,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0506352,0.76929,0.0658207,9.00785e-17
Seita.1G044700,Seita.4G222600,gbM,unM,wgd,Different,gbM-unM,0.110635,1.92674,0.0574209,9.57913e-39
Seita.1G044800,Seita.4G222300,gbM,gbM,wgd,Same,gbM-gbM,0.244943,1.00039,0.244848,7.85251e-33
Seita.1G045000,Seita.4G222200,unM,unM,wgd,Same,unM-unM,0.212265,3.10918,0.0682704,1.33066e-21
Seita.1G045100,Seita.4G222000,gbM,gbM,wgd,Same,gbM-gbM,0.156234,1.9133,0.081657,1.32091e-21
Seita.1G045500,Seita.4G221800,gbM,gbM,wgd,Same,gbM-gbM,0.158964,1.37427,0.115671,5.89985e-70
Seita.1G045700,Seita.4G221500,gbM,gbM,wgd,Same,gbM-gbM,0.287298,1.45851,0.196981,2.94933e-19
Seita.1G045900,Seita.4G221000,gbM,unM,wgd,Different,gbM-unM,0.124581,1.39315,0.0894237,2.97242e-38
Seita.1G046000,Seita.4G220800,gbM,gbM,wgd,Same,gbM-gbM,0.0410931,2.19566,0.0187156,5.10389e-119
Seita.1G046100,Seita.4G220700,unM,unM,wgd,Same,unM-unM,0.21732,1.03079,0.210828,5.45314e-64
Seita.1G046800,Seita.4G219900,unM,unM,wgd,Same,unM-unM,0.230028,4.2653,0.0539301,1.53521e-102
Seita.1G048000,Seita.4G219700,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.116523,1.30261,0.0894532,3.10431e-34
Seita.1G049100,Seita.4G218200,unM,teM,wgd,Different,unM-teM,0.268644,3.37186,0.0796725,0
Seita.1G049900,Seita.4G216700,gbM,unM,wgd,Different,gbM-unM,0.310971,4.76672,0.0652379,2.14566e-104
Seita.1G050600,Seita.4G215600,gbM,gbM,wgd,Same,gbM-gbM,0.118588,0.733903,0.161586,4.23133e-50
Seita.1G050700,Seita.4G215400,unM,unM,wgd,Same,unM-unM,0.29974,4.17032,0.0718745,0
Seita.1G051100,Seita.4G214900,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.272743,1.12805,0.241783,1.26606e-17
Seita.1G051200,Seita.4G214800,gbM,gbM,wgd,Same,gbM-gbM,0.144577,0.755887,0.191267,5.58022e-22
Seita.1G052000,Seita.4G212900,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.260791,0.688459,0.378804,2.11334e-08
Seita.1G052400,Seita.4G212800,gbM,gbM,wgd,Same,gbM-gbM,0.143712,0.920922,0.156053,4.87667e-140
