Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Zm00001d000038,Zm00001d029948,unM,teM,wgd,Different,unM-teM,0.0586463,0.3995,0.146799,1.3398e-26
Zm00001d000042,Zm00001d029938,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.027882,0.11386,0.244879,4.09192e-15
Zm00001d001773,Zm00001d026658,gbM,unM,wgd,Different,gbM-unM,0.0823942,0.174653,0.471759,0.00455526
Zm00001d001785,Zm00001d026650,gbM,unM,wgd,Different,gbM-unM,0.0216995,0.158532,0.136878,6.70397e-32
Zm00001d001790,Zm00001d026641,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.0535864,0.195166,0.274569,2.22019e-11
Zm00001d001811,Zm00001d026634,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.185253,0.403802,0.458772,0.0010686
Zm00001d001866,Zm00001d026593,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.118938,0.211744,0.561708,0.00695504
Zm00001d001883,Zm00001d026586,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.166741,2.50363,0.0666,1.68623e-66
Zm00001d001898,Zm00001d026579,gbM,unM,wgd,Different,gbM-unM,0.0593227,0.140453,0.422368,0.000709659
Zm00001d001967,Zm00001d026516,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0127096,0.160727,0.0790761,1.16455e-07
Zm00001d001974,Zm00001d026514,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0513073,0.194224,0.264166,2.65152e-10
Zm00001d001994,Zm00001d026495,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0634312,0.22063,0.2875,1.94428e-12
Zm00001d002029,Zm00001d026477,gbM,teM,wgd,Different,gbM-teM,0.0823134,0.201089,0.409337,0.000737307
Zm00001d002119,Zm00001d026426,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.0077378,0.219127,0.0353119,1.21643e-83
Zm00001d002125,Zm00001d026421,gbM,unM,wgd,Different,gbM-unM,0.0237504,0.174971,0.135739,5.67866e-39
