Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
aradu.V14167.gnm1.ann1.Aradu.003TN,aradu.V14167.gnm1.ann1.Aradu.0QQ3Z,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.154378,1.603,0.096306,7.7634e-32
aradu.V14167.gnm1.ann1.Aradu.00EZV,aradu.V14167.gnm1.ann1.Aradu.X10AK,unM,unM,wgd,Same,unM-unM,0.130014,1.48261,0.0876928,2.36937e-61
aradu.V14167.gnm1.ann1.Aradu.0168M,aradu.V14167.gnm1.ann1.Aradu.DZY4R,gbM,unM,wgd,Different,gbM-unM,0.133878,2.9271,0.0457372,1.49266e-38
aradu.V14167.gnm1.ann1.Aradu.01B4C,aradu.V14167.gnm1.ann1.Aradu.T4PBI,unM,unM,wgd,Same,unM-unM,0.160506,1.14954,0.139627,6.56356e-17
aradu.V14167.gnm1.ann1.Aradu.01CF0,aradu.V14167.gnm1.ann1.Aradu.4V3YY,unM,teM,wgd,Different,unM-teM,0.336499,4.09665,0.0821402,1.23895e-44
aradu.V14167.gnm1.ann1.Aradu.01Q81,aradu.V14167.gnm1.ann1.Aradu.J2X62,teM,teM,wgd,Same,teM-teM,0.14536,0.95226,0.152648,4.41103e-10
aradu.V14167.gnm1.ann1.Aradu.01SQW,aradu.V14167.gnm1.ann1.Aradu.D9QX6,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.19348,2.09137,0.0925137,2.50266e-31
aradu.V14167.gnm1.ann1.Aradu.023N4,aradu.V14167.gnm1.ann1.Aradu.1M0AQ,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.390917,2.75231,0.142033,5.29175e-22
aradu.V14167.gnm1.ann1.Aradu.02IKD,aradu.V14167.gnm1.ann1.Aradu.Q3X7M,gbM,unM,wgd,Different,gbM-unM,0.0610337,0.759417,0.0803692,4.52333e-248
aradu.V14167.gnm1.ann1.Aradu.02IKS,aradu.V14167.gnm1.ann1.Aradu.QI99C,unM,unM,wgd,Same,unM-unM,0.327141,3.12922,0.104544,1.53265e-13
aradu.V14167.gnm1.ann1.Aradu.02Q8Q,aradu.V14167.gnm1.ann1.Aradu.Y8B4I,teM,teM,wgd,Same,teM-teM,0.109721,0.29065,0.377502,1.246e-05
aradu.V14167.gnm1.ann1.Aradu.02XNW,aradu.V14167.gnm1.ann1.Aradu.E13C6,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.134916,0.837249,0.161142,1.76197e-11
aradu.V14167.gnm1.ann1.Aradu.031YC,aradu.V14167.gnm1.ann1.Aradu.GVH4D,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.147051,1.22262,0.120275,5.62883e-31
aradu.V14167.gnm1.ann1.Aradu.036DC,aradu.V14167.gnm1.ann1.Aradu.ZBY90,teM,teM,wgd,Same,teM-teM,0.0462029,0.0460957,1.00233,0.999106
aradu.V14167.gnm1.ann1.Aradu.03N4G,aradu.V14167.gnm1.ann1.Aradu.S073D,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.228576,1.29774,0.176134,1.62364e-40
aradu.V14167.gnm1.ann1.Aradu.03UFM,aradu.V14167.gnm1.ann1.Aradu.ELJ56,gbM,gbM,wgd,Same,gbM-gbM,0.202755,0.477985,0.424187,9.13597e-05
aradu.V14167.gnm1.ann1.Aradu.03X06,aradu.V14167.gnm1.ann1.Aradu.XJ0L1,gbM,unM,wgd,Different,gbM-unM,0.226782,1.64752,0.13765,7.55737e-18
aradu.V14167.gnm1.ann1.Aradu.040TA,aradu.V14167.gnm1.ann1.Aradu.ZF48W,gbM,teM,wgd,Different,gbM-teM,0.103306,1.10877,0.0931714,3.3561e-29
aradu.V14167.gnm1.ann1.Aradu.045XZ,aradu.V14167.gnm1.ann1.Aradu.W2VA5,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.00226612,1.07132,0.00211526,4.75043e-44
aradu.V14167.gnm1.ann1.Aradu.04DPI,aradu.V14167.gnm1.ann1.Aradu.R392I,gbM,gbM,wgd,Same,gbM-gbM,0.184304,1.1758,0.156749,8.31205e-40
aradu.V14167.gnm1.ann1.Aradu.04E6I,aradu.V14167.gnm1.ann1.Aradu.XUN74,unM,unM,wgd,Same,unM-unM,0.39858,1.33781,0.297934,1.65139e-08
aradu.V14167.gnm1.ann1.Aradu.04GXY,aradu.V14167.gnm1.ann1.Aradu.P5027,gbM,gbM,wgd,Same,gbM-gbM,0.266549,1.58482,0.168189,2.87195e-48
aradu.V14167.gnm1.ann1.Aradu.04RDY,aradu.V14167.gnm1.ann1.Aradu.I2RY9,unM,unM,wgd,Same,unM-unM,0.133301,1.11524,0.119527,7.37879e-23
aradu.V14167.gnm1.ann1.Aradu.0514U,aradu.V14167.gnm1.ann1.Aradu.R45LU,unM,unM,wgd,Same,unM-unM,0.439576,2.52201,0.174296,8.12226e-19
aradu.V14167.gnm1.ann1.Aradu.053WE,aradu.V14167.gnm1.ann1.Aradu.E99UV,gbM,unM,wgd,Different,gbM-unM,0.235659,2.01595,0.116898,4.47036e-31
aradu.V14167.gnm1.ann1.Aradu.060MU,aradu.V14167.gnm1.ann1.Aradu.7ME6F,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.327008,1.94508,0.168121,3.12432e-10
aradu.V14167.gnm1.ann1.Aradu.06W1Y,aradu.V14167.gnm1.ann1.Aradu.H4EFI,gbM,gbM,wgd,Same,gbM-gbM,0.227729,0.738026,0.308565,7.45514e-14
aradu.V14167.gnm1.ann1.Aradu.073NL,aradu.V14167.gnm1.ann1.Aradu.KH176,gbM,unM,wgd,Different,gbM-unM,0.135078,1.45923,0.092568,1.27224e-144
aradu.V14167.gnm1.ann1.Aradu.074JV,aradu.V14167.gnm1.ann1.Aradu.R6A9X,gbM,unM,wgd,Different,gbM-unM,0.0994589,2.00783,0.0495356,3.56871e-67
aradu.V14167.gnm1.ann1.Aradu.075C2,aradu.V14167.gnm1.ann1.Aradu.3QJ3K,gbM,gbM,wgd,Same,gbM-gbM,0.150768,4.17872,0.0360798,1.4346e-115
aradu.V14167.gnm1.ann1.Aradu.079IW,aradu.V14167.gnm1.ann1.Aradu.GTH1W,teM,teM,wgd,Same,teM-teM,0.0763395,0.179044,0.426374,0.207241
aradu.V14167.gnm1.ann1.Aradu.07E2R,aradu.V14167.gnm1.ann1.Aradu.18TLF,unM,unM,wgd,Same,unM-unM,0.350398,3.50063,0.100096,3.82908e-25
aradu.V14167.gnm1.ann1.Aradu.07IAJ,aradu.V14167.gnm1.ann1.Aradu.C8IUW,teM,teM,wgd,Same,teM-teM,0.0664155,0.69561,0.0954781,1.14913e-11
aradu.V14167.gnm1.ann1.Aradu.07LFN,aradu.V14167.gnm1.ann1.Aradu.38T1L,teM,teM,wgd,Same,teM-teM,0.243042,0.93197,0.260783,1.57343e-13
aradu.V14167.gnm1.ann1.Aradu.07P3B,aradu.V14167.gnm1.ann1.Aradu.5P5ZF,unM,unM,wgd,Same,unM-unM,0.435014,1.11341,0.390703,0.00148028
aradu.V14167.gnm1.ann1.Aradu.07VUH,aradu.V14167.gnm1.ann1.Aradu.KD00B,unM,unM,wgd,Same,unM-unM,0.20618,0.468411,0.440169,0.0189748
aradu.V14167.gnm1.ann1.Aradu.07VYH,aradu.V14167.gnm1.ann1.Aradu.MSQ8X,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.125398,0.879922,0.142511,2.83472e-21
aradu.V14167.gnm1.ann1.Aradu.07ZE9,aradu.V14167.gnm1.ann1.Aradu.7VQ43,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.13568,0.955489,0.142,2.34629e-25
aradu.V14167.gnm1.ann1.Aradu.08WSJ,aradu.V14167.gnm1.ann1.Aradu.TY7A4,unM,unM,wgd,Same,unM-unM,0.244113,4.23125,0.0576928,7.13303e-73
aradu.V14167.gnm1.ann1.Aradu.08Y2X,aradu.V14167.gnm1.ann1.Aradu.8PJ2J,unM,unM,wgd,Same,unM-unM,0.234831,3.09077,0.0759784,2.87579e-62
aradu.V14167.gnm1.ann1.Aradu.094MD,aradu.V14167.gnm1.ann1.Aradu.BGK3K,gbM,unM,wgd,Different,gbM-unM,0.150474,4.46757,0.0336815,8.05508e-161
aradu.V14167.gnm1.ann1.Aradu.0AD0I,aradu.V14167.gnm1.ann1.Aradu.CD22H,unM,unM,wgd,Same,unM-unM,0.182057,2.1498,0.0846857,9.07247e-37
aradu.V14167.gnm1.ann1.Aradu.0AE9J,aradu.V14167.gnm1.ann1.Aradu.QHM7I,gbM,unM,wgd,Different,gbM-unM,0.196837,0.493241,0.399068,0.00687818
aradu.V14167.gnm1.ann1.Aradu.0C6YR,aradu.V14167.gnm1.ann1.Aradu.346ET,unM,teM,wgd,Different,unM-teM,0.0870681,0.870372,0.100035,8.89868e-15
