Transcript	GC	GC1	GC2	GC3
ATCG00500	33.2651670074983	37.423312883435585	35.58282208588957	26.789366053169733
ATCG00510	31.57894736842105	36.8421052631579	28.94736842105263	28.94736842105263
ATCG00280	43.459915611814345	52.53164556962025	45.9915611814346	31.856540084388186
ATCG00890	37.77777777777778	42.56410256410256	41.02564102564103	29.743589743589745
ATCG01250	37.77777777777778	42.56410256410256	41.02564102564103	29.743589743589745
ATCG00180	37.49388154674498	49.33920704845815	37.29809104258443	25.844346549192363
ATCG00340	40.58956916099773	48.16326530612245	42.993197278911566	30.612244897959183
ATCG00420	40.670859538784065	49.056603773584904	38.9937106918239	33.9622641509434
ATCG00600	32.45614035087719	44.73684210526316	28.94736842105263	23.68421052631579
ATCG00210	43.333333333333336	50.0	43.333333333333336	36.666666666666664
ATCG00020	41.24293785310734	50.282485875706215	43.50282485875706	29.943502824858758
ATCG01100	33.333333333333336	42.10526315789474	38.227146814404435	19.667590027700832
ATCG00660	35.59322033898305	40.67796610169491	41.52542372881356	24.576271186440678
ATCG00740	33.43434343434343	45.45454545454545	30.0	24.848484848484848
ATCG00820	34.76702508960574	41.935483870967744	37.634408602150536	24.731182795698924
ATCG00640	36.318407960199	37.3134328358209	38.80597014925373	32.83582089552239
ATCG01020	30.81761006289308	26.41509433962264	43.39622641509434	22.641509433962263
ATCG01060	40.24390243902439	45.1219512195122	53.65853658536585	21.951219512195124
ATCG00330	41.254125412541256	41.584158415841586	47.524752475247524	34.65346534653465
ATCG00800	32.57229832572298	45.662100456621005	32.42009132420091	19.634703196347033
ATCG00710	39.63963963963964	44.5945945945946	45.945945945945944	28.37837837837838
ATCG00590	32.291666666666664	37.5	43.75	15.625
ATCG01050	33.399079552925706	37.27810650887574	36.29191321499014	26.62721893491124
ATCG00050	36.25	50.0	41.25	17.5
ATCG00520	37.83783783783784	42.16216216216216	41.62162162162162	29.72972972972973
ATCG00070	34.946236559139784	40.32258064516129	30.64516129032258	33.87096774193548
