Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Eucgr.A00057,Eucgr.A00261,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0116746,0.0353642,0.330124,0.00395099
Eucgr.A00078,Eucgr.A00274,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.00821941,0.0144615,0.568364,0.262219
Eucgr.A00081,Eucgr.A00277,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.016248,0.0294939,0.550895,0.0570184
Eucgr.A00256,Eucgr.A00054,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0182288,0.0700709,0.260148,1.07193e-05
Eucgr.A00272,Eucgr.A00076,unM,unM,wgd,Same,unM-unM,0.0384442,0.0367035,1.04742,0.998752
Eucgr.A00278,Eucgr.A00082,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.00810275,0.0493488,0.164194,3.29807e-05
Eucgr.A00483,Eucgr.I02486,gbM,unM,wgd,Different,gbM-unM,0.484066,2.99585,0.161579,1.02958e-11
Eucgr.A00491,Eucgr.F01532,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.268622,3.18978,0.0842134,2.19825e-18
Eucgr.A00491,Eucgr.I02476,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.309903,3.33176,0.0930148,7.35701e-26
Eucgr.A00494,Eucgr.F01535,gbM,unM,wgd,Different,gbM-unM,0.606771,1.01977,0.59501,0.086146
Eucgr.A00608,Eucgr.K02962,gbM,gbM,wgd,Same,gbM-gbM,0.0155025,1.00542,0.015419,8.38155e-61
Eucgr.A00611,Eucgr.K02959,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.114019,1.4057,0.0811119,3.83545e-24
Eucgr.A00626,Eucgr.K02942,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.205148,3.43006,0.0598088,3.34292e-49
Eucgr.A00646,Eucgr.K01265,unM,unM,wgd,Same,unM-unM,0.351414,3.34225,0.105143,2.25951e-30
Eucgr.A00656,Eucgr.K01270,unM,unM,wgd,Same,unM-unM,0.152825,1.26431,0.120876,1.68835e-17
Eucgr.A00687,Eucgr.K01273,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.388724,1.03246,0.376504,9.35936e-06
Eucgr.A00713,Eucgr.K01276,unM,unM,wgd,Same,unM-unM,0.51557,3.92638,0.131309,1.70918e-32
Eucgr.A00724,Eucgr.K01282,unM,unM,wgd,Same,unM-unM,0.241057,2.92422,0.0824347,5.74814e-27
Eucgr.A00852,Eucgr.K01308,unM,unM,wgd,Same,unM-unM,0.198975,2.85947,0.0695844,4.37609e-24
Eucgr.A00854,Eucgr.K01311,gbM,unM,wgd,Different,gbM-unM,0.397904,3.58589,0.110964,1.26563e-22
Eucgr.A00869,Eucgr.K01314,unM,unM,wgd,Same,unM-unM,0.119693,1.56587,0.0764385,6.59349e-72
Eucgr.A00880,Eucgr.K01316,unM,unM,wgd,Same,unM-unM,0.236395,3.59447,0.0657663,9.40915e-31
Eucgr.A00887,Eucgr.K01321,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.266306,1.98075,0.134447,7.42941e-106
Eucgr.A00967,Eucgr.K00044,gbM,gbM,wgd,Same,gbM-gbM,0.762283,3.11096,0.245032,2.64521e-25
Eucgr.A00996,Eucgr.K00555,unM,unM,wgd,Same,unM-unM,0.319701,3.21057,0.0995778,1.97081e-46
