Feature,Subgenome
Bo5g002950,LF
Bo5g002810,LF
Bo5g002840,LF
Bo5g002800,LF
Bo5g002790,LF
Bo5g002780,LF
Bo5g002770,LF
Bo5g002750,LF
Bo5g002710,LF
Bo5g002700,LF
Bo5g002690,LF
Bo5g002680,LF
Bo5g002670,LF
Bo5g002660,LF
Bo5g002650,LF
Bo5g002640,LF
Bo5g002630,LF
Bo5g002600,LF
Bo5g002590,LF
Bo5g002580,LF
Bo5g002570,LF
Bo5g002560,LF
Bo5g002550,LF
Bo5g002530,LF
Bo5g002510,LF
Bo5g002500,LF
Bo5g002490,LF
Bo5g002480,LF
Bo5g002470,LF
Bo5g002460,LF
Bo5g002450,LF
Bo5g002430,LF
Bo5g002760,LF
Bo5g002420,LF
Bo5g002410,LF
Bo5g002400,LF
Bo5g002390,LF
Bo5g002380,LF
Bo5g001000,LF
Bo5g001010,LF
Bo5g001020,LF
Bo5g001030,LF
Bo5g001040,LF
Bo5g001050,LF
Bo5g001080,LF
Bo5g001090,LF
Bo5g001100,LF
Bo5g001120,LF
Bo5g001130,LF
Bo5g001140,LF
Bo5g001150,LF
Bo5g001160,LF
Bo5g001190,LF
Bo5g001200,LF
Bo5g001210,LF
Bo5g001230,LF
Bo5g001240,LF
Bo5g001250,LF
Bo5g001300,LF
Bo5g001290,LF
Bo5g001270,LF
Bo5g001310,LF
Bo5g001320,LF
Bo5g001340,LF
Bo5g001350,LF
Bo5g001360,LF
Bo5g001370,LF
Bo5g002970,LF
Bo5g002990,LF
Bo5g003010,LF
Bo5g003020,LF
Bo5g003080,LF
Bo5g003100,LF
Bo5g003110,LF
Bo5g003130,LF
Bo5g003140,LF
Bo5g003150,LF
Bo5g003170,LF
Bo5g003160,LF
Bo5g003180,LF
Bo5g003190,LF
Bo5g003200,LF
Bo5g003210,LF
Bo5g003220,LF
Bo5g003230,LF
Bo5g003240,LF
Bo5g003250,LF
Bo5g003270,LF
Bo5g003280,LF
Bo5g003290,LF
Bo5g003300,LF
Bo5g003350,LF
Bo5g003360,LF
Bo5g003370,LF
Bo5g003380,LF
Bo5g003420,LF
Bo5g003430,LF
Bo5g003440,LF
Bo5g003500,LF
Bo5g003510,LF
Bo5g003530,LF
Bo5g003560,LF
Bo5g003570,LF
Bo5g003580,LF
Bo5g003600,LF
Bo5g003610,LF
Bo5g003620,LF
Bo5g003640,LF
Bo5g003660,LF
Bo5g003670,LF
Bo5g003680,LF
Bo5g003690,LF
Bo5g003740,LF
Bo5g003750,LF
Bo5g003760,LF
Bo5g003770,LF
Bo5g003780,LF
Bo5g003790,LF
Bo5g003810,LF
Bo5g003820,LF
Bo5g003830,LF
Bo5g003850,LF
Bo5g003860,LF
Bo5g003870,LF
Bo5g003880,LF
Bo5g003890,LF
Bo5g003900,LF
Bo5g003930,LF
Bo5g003940,LF
Bo5g003950,LF
Bo5g003960,LF
Bo5g003970,LF
Bo5g003980,LF
Bo5g003990,LF
Bo5g004060,LF
Bo5g004000,LF
Bo5g004010,LF
Bo5g004020,LF
Bo5g004040,LF
Bo5g004050,LF
Bo5g004080,LF
Bo5g004090,LF
Bo5g004100,LF
Bo5g004110,LF
Bo5g004150,LF
Bo5g004160,LF
Bo5g004170,LF
Bo5g004180,LF
Bo5g004210,LF
Bo5g004220,LF
Bo5g004230,LF
Bo5g004240,LF
Bo5g004250,LF
Bo5g004260,LF
Bo5g004270,LF
Bo5g004280,LF
Bo5g004290,LF
Bo5g004300,LF
Bo5g004310,LF
Bo5g004320,LF
Bo5g004330,LF
Bo5g004340,LF
Bo5g004350,LF
Bo5g004380,LF
Bo5g004430,LF
Bo5g004440,LF
Bo5g004470,LF
Bo5g004480,LF
Bo5g004490,LF
Bo5g004510,LF
Bo5g004520,LF
Bo5g004550,LF
Bo5g004560,LF
Bo5g004570,LF
Bo5g004580,LF
Bo5g004590,LF
Bo5g004610,LF
Bo5g004620,LF
Bo5g004630,LF
Bo5g004650,LF
Bo5g004660,LF
Bo5g004670,LF
Bo5g004700,LF
Bo5g004710,LF
Bo5g004720,LF
Bo5g004740,LF
Bo5g004750,LF
Bo5g004760,LF
Bo5g004790,LF
Bo5g004800,LF
Bo5g004810,LF
Bo5g004820,LF
Bo5g004830,LF
Bo5g004840,LF
Bo5g004850,LF
Bo5g004860,LF
Bo5g004870,LF
Bo5g004910,LF
Bo5g004940,LF
Bo5g004950,LF
Bo5g004970,LF
Bo5g004980,LF
Bo5g005000,LF
Bo5g005030,LF
Bo5g005050,LF
Bo5g005070,LF
Bo5g005130,LF
Bo5g005140,LF
Bo5g005150,LF
Bo5g005190,LF
Bo5g005200,LF
Bo5g005210,LF
Bo5g005220,LF
Bo5g005300,LF
Bo5g005310,LF
Bo5g005320,LF
Bo5g005330,LF
Bo5g005340,LF
Bo5g005350,LF
Bo5g005390,LF
Bo5g005470,LF
Bo5g005480,LF
Bo5g005490,LF
Bo5g005510,LF
Bo5g005520,LF
Bo5g005530,LF
Bo5g005540,LF
Bo5g005550,LF
Bo5g005560,LF
Bo5g005570,LF
Bo5g005580,LF
Bo5g005600,LF
Bo5g005590,LF
Bo5g005610,LF
Bo5g005630,LF
Bo5g005640,LF
Bo5g005650,LF
Bo5g005670,LF
Bo5g005680,LF
Bo5g005710,LF
Bo5g005750,LF
Bo5g006820,LF
Bo5g006830,LF
Bo5g006840,LF
Bo5g006850,LF
Bo5g006870,LF
Bo5g006880,LF
Bo5g006950,LF
Bo5g006970,LF
Bo5g006980,LF
Bo5g007030,LF
Bo5g007040,LF
Bo5g007050,LF
Bo5g007060,LF
Bo5g007110,LF
Bo5g005620,LF
Bo5g007120,LF
Bo5g007130,LF
Bo5g007140,LF
Bo5g007190,LF
Bo5g007250,LF
Bo5g007270,LF
Bo5g007280,LF
Bo5g007310,LF
Bo5g007320,LF
Bo5g007330,LF
Bo5g007350,LF
Bo5g007370,LF
Bo5g007380,LF
Bo5g007390,LF
Bo5g007430,LF
Bo5g007440,LF
Bo5g007490,LF
Bo5g007500,LF
Bo5g007470,LF
Bo5g007510,LF
Bo5g007480,LF
Bo5g007520,LF
Bo5g007530,LF
Bo5g007540,LF
Bo5g007550,LF
Bo5g007570,LF
Bo5g007580,LF
Bo5g007610,LF
Bo5g007620,LF
Bo5g007080,LF
Bo5g007650,LF
Bo5g007660,LF
Bo5g007700,LF
Bo5g007710,LF
Bo5g007730,LF
Bo5g007750,LF
Bo5g007760,LF
Bo5g007770,LF
Bo5g007780,LF
Bo5g007790,LF
Bo5g007800,LF
Bo5g007820,LF
Bo5g007840,LF
Bo5g007850,LF
Bo5g007870,LF
Bo5g007880,LF
Bo5g007890,LF
Bo5g007900,LF
Bo5g007920,LF
Bo5g007930,LF
Bo5g007940,LF
Bo5g007970,LF
Bo5g007990,LF
Bo5g008000,LF
Bo5g008010,LF
Bo5g008020,LF
Bo5g008030,LF
Bo5g008040,LF
Bo5g008070,LF
Bo5g008090,LF
Bo5g008100,LF
Bo5g008110,LF
Bo5g008120,LF
Bo5g008130,LF
Bo5g008140,LF
Bo5g008150,LF
Bo5g008160,LF
Bo5g008170,LF
Bo5g008180,LF
Bo5g008210,LF
Bo5g008220,LF
Bo5g008240,LF
Bo5g008230,LF
Bo5g008260,LF
Bo5g008270,LF
Bo5g008290,LF
Bo5g008300,LF
Bo5g008340,LF
Bo5g008350,LF
Bo5g008360,LF
Bo5g008410,LF
Bo5g008420,LF
Bo5g008540,LF
Bo5g008520,LF
Bo5g008510,LF
Bo5g008500,LF
Bo5g008450,LF
Bo5g008440,LF
Bo5g008430,LF
Bo5g008570,LF
Bo5g008580,LF
Bo5g008610,LF
Bo5g008650,LF
Bo5g008670,LF
Bo5g008680,LF
Bo5g008690,LF
Bo5g008720,LF
Bo5g008730,LF
Bo5g008740,LF
Bo5g008790,LF
Bo5g008800,LF
Bo5g008810,LF
Bo5g008820,LF
Bo5g008830,LF
Bo5g008850,LF
Bo5g008860,LF
Bo5g008870,LF
Bo5g008880,LF
Bo5g008890,LF
Bo5g008900,LF
Bo5g008930,LF
Bo5g008940,LF
Bo5g008950,LF
Bo5g008970,LF
Bo5g008990,LF
Bo5g009000,LF
Bo5g009010,LF
Bo5g009020,LF
Bo5g009030,LF
Bo5g009040,LF
Bo5g009050,LF
Bo5g009080,LF
Bo5g009090,LF
Bo5g009100,LF
Bo5g009140,LF
Bo5g009150,LF
Bo5g009170,LF
Bo5g009180,LF
Bo5g009160,LF
Bo5g009190,LF
Bo5g009240,LF
Bo5g009250,LF
Bo5g009260,LF
Bo5g009270,LF
Bo5g009280,LF
Bo5g009290,LF
Bo5g009300,LF
Bo5g009330,LF
Bo5g009370,LF
Bo5g009390,LF
Bo5g009400,LF
Bo5g009420,LF
Bo5g009440,LF
Bo5g009450,LF
Bo5g009460,LF
Bo5g009470,LF
Bo5g009500,LF
Bo5g009530,LF
Bo5g009540,LF
Bo5g009550,LF
Bo5g009640,LF
Bo5g009660,LF
Bo5g009670,LF
Bo5g009690,LF
Bo5g009710,LF
Bo5g009720,LF
Bo5g009730,LF
Bo5g009740,LF
Bo5g009790,LF
Bo5g009800,LF
Bo5g009820,LF
Bo5g009830,LF
Bo5g009840,LF
Bo5g009900,LF
Bo5g009910,LF
Bo5g009920,LF
Bo5g009940,LF
Bo5g009960,LF
Bo5g009980,LF
Bo5g009990,LF
Bo5g010000,LF
Bo5g010010,LF
Bo5g010040,LF
Bo5g010050,LF
Bo5g010070,LF
Bo5g010080,LF
Bo5g010090,LF
Bo5g010110,LF
Bo5g010120,LF
Bo5g010130,LF
Bo5g010140,LF
Bo5g010150,LF
Bo5g010160,LF
Bo5g010170,LF
Bo5g010180,LF
Bo5g010190,LF
Bo5g010210,LF
Bo5g010230,LF
Bo5g010240,LF
Bo5g010250,LF
Bo5g010260,LF
Bo5g010270,LF
Bo5g010280,LF
Bo5g010290,LF
Bo5g010300,LF
Bo5g010310,LF
Bo5g010320,LF
Bo5g010340,LF
Bo5g010410,LF
Bo5g010420,LF
Bo5g010440,LF
Bo5g010450,LF
Bo5g010470,LF
Bo5g010510,LF
Bo5g010530,LF
Bo5g010880,LF
Bo5g010570,LF
Bo5g010590,LF
Bo5g010600,LF
Bo5g010630,LF
Bo5g010640,LF
Bo5g010650,LF
Bo5g010680,LF
Bo5g010690,LF
Bo5g010700,LF
Bo5g010710,LF
Bo5g010720,LF
Bo5g010780,LF
Bo5g010790,LF
Bo5g010800,LF
Bo5g010850,LF
Bo5g010860,LF
Bo5g010870,LF
Bo5g010890,LF
Bo5g010900,LF
Bo5g010910,LF
Bo5g011980,LF
Bo5g012000,LF
Bo5g012010,LF
Bo5g012020,LF
Bo5g012030,LF
Bo5g012050,LF
Bo5g012060,LF
Bo5g012100,LF
Bo5g012110,LF
Bo5g012120,LF
Bo5g012130,LF
Bo5g012150,LF
Bo5g012140,LF
Bo5g012160,LF
Bo5g012190,LF
Bo5g012220,LF
Bo5g013260,LF
Bo5g010950,LF
Bo5g013270,LF
Bo5g013280,LF
Bo5g013310,LF
Bo5g013320,LF
Bo5g013350,LF
Bo5g013360,LF
Bo5g013430,LF
Bo5g013440,LF
Bo5g013450,LF
Bo5g013460,LF
Bo5g013480,LF
Bo5g013490,LF
Bo5g013520,LF
Bo5g013530,LF
Bo5g013540,LF
Bo5g013560,LF
Bo5g013590,LF
Bo5g013600,LF
Bo5g013630,LF
Bo5g013640,LF
Bo5g014700,LF
Bo5g014710,LF
Bo5g014730,LF
Bo5g014780,LF
Bo5g014790,LF
Bo5g014800,LF
Bo5g014810,LF
Bo5g014820,LF
Bo5g014830,LF
Bo5g014840,LF
Bo5g014850,LF
Bo5g014880,LF
Bo5g014890,LF
Bo5g014900,LF
Bo5g014910,LF
Bo5g014920,LF
Bo5g014930,LF
Bo5g014940,LF
Bo5g014970,LF
Bo5g014980,LF
Bo5g015000,LF
Bo5g017480,LF
Bo5g017450,LF
Bo5g017440,LF
Bo5g017400,LF
Bo5g017390,LF
Bo5g017380,LF
Bo5g017370,LF
Bo5g017350,LF
Bo5g017320,LF
Bo5g017310,LF
Bo5g017290,LF
Bo5g017280,LF
Bo5g017270,LF
Bo5g017230,LF
Bo5g017210,LF
Bo5g017170,LF
Bo5g017160,LF
Bo5g017140,LF
Bo5g017130,LF
Bo5g017120,LF
Bo5g016980,LF
Bo5g016930,LF
Bo5g016890,LF
Bo5g016880,LF
Bo5g016870,LF
Bo5g016860,LF
Bo5g016850,LF
Bo5g016840,LF
Bo5g016830,LF
Bo5g016780,LF
Bo5g016760,LF
Bo5g016750,LF
Bo5g016740,LF
Bo5g016710,LF
