gene:Feature	CG_Total_C	CG_Methylated_C	CG_Total_Reads	CG_Methylated_Reads	CG_Weighted_mC	CHG_Total_C	CHG_Methylated_C	CHG_Total_Reads	CHG_Methylated_Reads	CHG_Weighted_mC	CHH_Total_C	CHH_Methylated_C	CHH_Total_Reads	CHH_Methylated_Reads	CHH_Weighted_mC	CG_pvalue	CG_qvalue	CHG_pvalue	CHG_qvalue	CHH_pvalue	CHH_qvalue	Classification
gene:BVRB_034840																						NA
gene:BVRB_027630																						NA
gene:BVRB_8g195680																						NA
gene:BVRB_8g183340	9.0	9.0	62.0	60.0	0.967741935483871	5.0	0.0	68.0	0.0	0.0	14.0	0.0	156.0	0.0	0.0							Unclassified
gene:BVRB_8g189310	14.0	0.0	325.0	3.0	0.009230769230769232	12.0	0.0	303.0	2.0	0.006600660066006601	16.0	0.0	322.0	2.0	0.006211180124223602							Unmethylated
gene:BVRB_8g189920	7.0	0.0	74.0	11.0	0.14864864864864866	16.0	0.0	134.0	0.0	0.0	36.0	0.0	350.0	2.0	0.005714285714285714					1.0	1.0	Unmethylated
gene:BVRB_8g182600						1.0	0.0	7.0	0.0	0.0	3.0	0.0	37.0	0.0	0.0							NA
gene:BVRB_8g187500	5.0	5.0	65.0	53.0	0.8153846153846154	12.0	0.0	99.0	2.0	0.020202020202020204	32.0	0.0	299.0	1.0	0.0033444816053511705					1.0	1.0	Unclassified
gene:BVRB_8g190430																						NA
gene:BVRB_8g191810	16.0	16.0	190.0	186.0	0.9789473684210528	21.0	2.0	231.0	6.0	0.025974025974025976	79.0	0.0	876.0	1.0	0.001141552511415525			0.32710982237962843	1.0	1.0	1.0	Unclassified
gene:BVRB_8g183410	11.0	1.0	114.0	6.0	0.05263157894736842	6.0	2.0	85.0	9.0	0.10588235294117647	21.0	0.0	201.0	1.0	0.0049751243781094535					1.0	1.0	Unclassified
gene:BVRB_8g190640	18.0	11.0	218.0	78.0	0.3577981651376147	24.0	0.0	247.0	1.0	0.004048582995951417	55.0	0.0	592.0	2.0	0.0033783783783783786			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g192430	10.0	8.0	76.0	47.0	0.618421052631579	32.0	0.0	196.0	1.0	0.005102040816326529	84.0	0.0	567.0	4.0	0.007054673721340388			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g185250	14.0	7.0	86.0	42.0	0.4883720930232558	19.0	0.0	141.0	0.0	0.0	60.0	0.0	447.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_8g194370						4.0	0.0	37.0	0.0	0.0	7.0	0.0	107.0	0.0	0.0							NA
gene:BVRB_8g182780	20.0	20.0	128.0	107.0	0.8359375	34.0	0.0	239.0	0.0	0.0	69.0	0.0	593.0	4.0	0.006745362563237775	1.1238980083217883e-11	3.4033626139288695e-11	1.0	1.0	1.0	1.0	gbM
gene:BVRB_8g188120						1.0	0.0	8.0	0.0	0.0	3.0	0.0	34.0	0.0	0.0							NA
