Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC	CH_Weighted_mC
1	0.10229223847301074	0.019484821324188457	0.01666586354781196	0.017256344604467275
2	0.12850890822457012	0.02942575603126062	0.016613822814326135	0.019269836886846414
3	0.12808955702974534	0.024512016633154145	0.015776869487049833	0.01756121277148629
4	0.12331626137939557	0.037009199687330886	0.016200353901896634	0.020278012613371588
5	0.14467678304541598	0.029444411988082023	0.015207585586790615	0.01809484316222861
6	0.1344603976695249	0.036338128054514904	0.01899020679451934	0.022333339275421738
7	0.13899676614344147	0.04425680815457173	0.01965570831733869	0.024496406215854562
8	0.12405410649444244	0.03261508489662933	0.015286960716377683	0.018503738160413535
9	0.11103296950602003	0.02859182812449291	0.01651709583079333	0.018836577185392066
10	0.11263157894736842	0.02770600057421763	0.01365045136802906	0.01620125376536677
11	0.07757076032664711	0.029684123881057723	0.015215280025898349	0.01797769730940236
12	0.08858177448174444	0.03254094030639197	0.012006079640059506	0.015831723151516743
13	0.07865771347478454	0.021884981006557936	0.010091270303070606	0.012217350272726963
14	0.07754402699026726	0.019023784817595476	0.009373535385096079	0.011069978718457715
15	0.05776220878769045	0.0176015514660933	0.01025343131957203	0.01154683853349214
16	0.062305173026082156	0.018382437103678775	0.011374664289422014	0.012528843108570739
17	0.049015856820983715	0.01628405751052506	0.011596766903041114	0.012323726767249521
18	0.02965206367093957	0.009123814651948907	0.008758771614388016	0.008812272294829695
19	0.014765796686337934	0.011559752523607945	0.0076063829787234045	0.00816149238717937
20	0.012036153881091884	0.009531898829747074	0.007985124735292599	0.00820326710973478
21	0.029225935060985912	0.005382862130837496	0.0056632414759458195	0.0055983754613891604
22	0.023125324338349768	0.00744665385174536	0.006058745964625108	0.006419985621250278
23	0.015378125226585108	0.005872093023255814	0.004727119579424323	0.005039193729003359
24	0.011193586377535035	0.003864171500299453	0.00440894626184342	0.004263104488888694
25	0.021832645999613213	0.004795221711655545	0.004256540520371407	0.004402854956661356
26	0.015640311374872005	0.005107914217536156	0.004652995257855883	0.0047775954161811815
27	0.023812840280763803	0.005138614731761114	0.004214298046252558	0.004456037387240517
28	0.033409639687666595	0.0034555046188578407	0.004021365763642629	0.0038709940720939484
29	0.04808741065814631	0.0038576098801307666	0.0039023119357506145	0.003889774111913019
30	0.062166006927263734	0.00433062761014058	0.003984329230538565	0.004079255253754265
31	0.0867352006356774	0.004758304119026342	0.004498514488141634	0.00456652044737505
32	0.08600377458147879	0.004786823757165112	0.004376842916954021	0.004485156031485995
33	0.1040615035050801	0.0053240456609795015	0.004312893464575145	0.004574353074199339
34	0.1113718935770464	0.006741316270566728	0.004689992528071441	0.005235254255305013
35	0.11493212134123969	0.008481819030587695	0.004673313723243051	0.005670302729491214
36	0.1250309734232145	0.00832490583183104	0.005145707809645454	0.005982365329280805
37	0.1237070716540108	0.005638643271621995	0.005132228932215498	0.005264511239528495
38	0.07935160564532624	0.010234326338624112	0.004936198411831815	0.006311557901016707
39	0.09470225290182266	0.013467308631637708	0.007839283764603123	0.009180720486977347
40	0.10900197973681146	0.031761624099541585	0.008424094243165148	0.012372580883439208
41	0.060642213478867876	0.014118119928655764	0.006817867514866547	0.007949769608587776
42	0.04286132776740269	0.009283251001957312	0.008994630490313628	0.009045726958312432
43	0.05449986618022003	0.010772746350790468	0.007779013718946978	0.008355561942226574
44	0.09247356687482888	0.019543081316525802	0.012203484760902893	0.013666378237284433
45	0.11766944114149822	0.019120355324450222	0.011127802250597158	0.012725559940879339
46	0.09416452067440843	0.015676800214750687	0.008423872101782874	0.009871911678010612
47	0.1251250880249064	0.02324981326814694	0.009796627800564886	0.012421405727942599
48	0.11306345539692758	0.024671242542818654	0.012468402219231149	0.014954712394296245
49	0.10562679173313821	0.02406935112070234	0.012451044178243841	0.01484925487972787
50	0.09701600263961066	0.02524116673326103	0.012662454169592012	0.015362560345038842
51	0.12534085084572014	0.02323454699407282	0.012728215860946116	0.014932975744279603
52	0.11415416132143959	0.020512820512820513	0.011768519135581822	0.013640053998328624
53	0.12876046934655286	0.030057420494699647	0.011368691163165077	0.015388488678927104
54	0.12058314801087225	0.024360082732356448	0.008971683221742919	0.012369574567826058
55	0.11436612511193553	0.023264810496566694	0.011686673771708294	0.014248821713758483
56	0.13748763600395647	0.031438296559852835	0.011611630998388986	0.015782278246362035
57	0.13743104975087223	0.029458787944258397	0.011946877849148907	0.015703833487451534
58	0.11180624979844561	0.017263022370044526	0.011282985078214675	0.012591342395782228
59	0.10684057971014493	0.013738519305082705	0.009682990008634514	0.010574334322195997
60	0.09567911860905491	0.013292586252455739	0.008244706955125872	0.009335285941223194
