Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
FvH4_1g00720,FvH4_2g41200,gbM,gbM,wgd,Same,gbM-gbM,0.249155,3.60142,0.0691823,9.73334e-110
FvH4_1g00890,FvH4_2g41140,gbM,gbM,wgd,Same,gbM-gbM,0.105315,1.50378,0.0700339,5.23076e-122
FvH4_1g01070,FvH4_2g41050,unM,unM,wgd,Same,unM-unM,0.310311,4.09419,0.075793,4.87051e-81
FvH4_1g01160,FvH4_2g40930,gbM,unM,wgd,Different,gbM-unM,0.168852,3.66642,0.0460535,2.41001e-76
FvH4_1g01330,FvH4_2g40880,unM,unM,wgd,Same,unM-unM,0.569794,4.11017,0.13863,2.22882e-35
FvH4_1g01550,FvH4_2g28260,unM,unM,wgd,Same,unM-unM,0.771808,3.63685,0.212219,6.45229e-14
FvH4_1g01720,FvH4_2g28300,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.160567,1.59106,0.100918,2.97324e-47
FvH4_1g01740,FvH4_2g28320,unM,unM,wgd,Same,unM-unM,0.640904,3.39277,0.188903,7.92926e-28
FvH4_1g01880,FvH4_2g28370,gbM,unM,wgd,Different,gbM-unM,0.321029,1.87282,0.171415,1.45174e-53
FvH4_1g01930,FvH4_2g28380,unM,unM,wgd,Same,unM-unM,0.327708,3.59267,0.0912158,3.55981e-33
FvH4_1g02010,FvH4_2g28600,gbM,gbM,wgd,Same,gbM-gbM,0.258903,1.6897,0.153224,1.54183e-75
FvH4_1g02080,FvH4_2g28660,gbM,gbM,wgd,Same,gbM-gbM,0.582674,0.516082,1.12903,0.334924
FvH4_1g02100,FvH4_2g28720,unM,unM,wgd,Same,unM-unM,0.322719,1.87853,0.171793,9.48288e-50
FvH4_1g02430,FvH4_2g28800,unM,unM,wgd,Same,unM-unM,0.445541,1.54713,0.28798,1.92572e-20
FvH4_1g02450,FvH4_2g28810,gbM,unM,wgd,Different,gbM-unM,0.232299,1.60065,0.145128,2.13143e-66
FvH4_1g02490,FvH4_2g28820,gbM,gbM,wgd,Same,gbM-gbM,0.149613,2.11486,0.0707435,3.41513e-145
FvH4_1g02630,FvH4_2g28960,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.217133,1.86784,0.116248,1.73577e-32
FvH4_1g02700,FvH4_2g28970,unM,unM,wgd,Same,unM-unM,0.439341,3.63039,0.121018,2.73742e-28
FvH4_1g02760,FvH4_2g28990,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.215943,2.85437,0.0756536,3.32528e-83
FvH4_1g02850,FvH4_2g29010,gbM,unM,wgd,Different,gbM-unM,0.459617,2.98638,0.153904,4.4507e-29
FvH4_1g02870,FvH4_6g29800,unM,unM,wgd,Same,unM-unM,0.557261,2.23507,0.249326,1.77586e-07
FvH4_1g02990,FvH4_6g29810,gbM,unM,wgd,Different,gbM-unM,0.289127,4.15834,0.0695295,2.58282e-65
FvH4_1g03080,FvH4_6g29850,unM,unM,wgd,Same,unM-unM,0.503644,2.06567,0.243817,6.10313e-20
FvH4_1g03100,FvH4_6g29870,unM,unM,wgd,Same,unM-unM,0.443242,1.69681,0.26122,5.12277e-07
FvH4_1g03140,FvH4_2g29110,gbM,gbM,wgd,Same,gbM-gbM,0.382696,1.52723,0.250582,7.15533e-08
FvH4_1g03160,FvH4_6g29910,unM,unM,wgd,Same,unM-unM,0.450537,1.87584,0.240179,6.25851e-09
FvH4_1g03170,FvH4_2g29120,unM,unM,wgd,Same,unM-unM,0.264376,3.29917,0.0801341,6.73533e-107
FvH4_1g03190,FvH4_6g29930,unM,unM,wgd,Same,unM-unM,0.284623,3.61876,0.0786521,2.07674e-31
FvH4_1g03200,FvH4_2g29180,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.234425,1.9256,0.121742,2.03483e-35
FvH4_1g03360,FvH4_2g29300,unM,unM,wgd,Same,unM-unM,0.11371,3.83177,0.0296754,1.72722e-76
FvH4_1g03510,FvH4_2g29400,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.264463,2.99452,0.0883156,1.59901e-56
FvH4_1g03570,FvH4_6g30220,unM,unM,wgd,Same,unM-unM,0.670219,3.31198,0.202362,1.84255e-08
FvH4_1g03590,FvH4_6g30270,unM,unM,wgd,Same,unM-unM,0.387154,2.47335,0.15653,2.41876e-29
FvH4_1g03610,FvH4_6g30290,gbM,unM,wgd,Different,gbM-unM,0.708974,3.69801,0.191718,4.801e-29
FvH4_1g03630,FvH4_2g29540,gbM,unM,wgd,Different,gbM-unM,0.35708,3.22462,0.110735,5.05462e-14
FvH4_1g03650,FvH4_1g04980,unM,unM,wgd,Same,unM-unM,0.515802,1.74009,0.296422,7.35748e-13
FvH4_1g03720,FvH4_1g04870,unM,unM,wgd,Same,unM-unM,0.555019,3.42632,0.161987,7.55325e-13
FvH4_1g03830,FvH4_6g30380,gbM,gbM,wgd,Same,gbM-gbM,0.475624,1.85553,0.256327,1.57083e-20
FvH4_1g03850,FvH4_2g29580,gbM,gbM,wgd,Same,gbM-gbM,0.150578,1.63464,0.092117,7.73664e-41
FvH4_1g03850,FvH4_6g30430,gbM,gbM,wgd,Same,gbM-gbM,0.188866,2.49523,0.0756906,3.19397e-44
FvH4_1g03870,FvH4_1g04650,unM,unM,wgd,Same,unM-unM,0.468963,2.88153,0.162748,8.22306e-21
FvH4_1g03920,FvH4_2g29670,gbM,gbM,wgd,Same,gbM-gbM,0.0281924,2.36396,0.0119259,2.48036e-73
FvH4_1g03970,FvH4_2g29730,unM,unM,wgd,Same,unM-unM,0.245155,1.7446,0.140523,3.94953e-15
FvH4_1g04020,FvH4_2g29750,gbM,gbM,wgd,Same,gbM-gbM,0.101319,2.84603,0.0356001,3.42342e-123
FvH4_1g04090,FvH4_1g04440,unM,unM,wgd,Same,unM-unM,0.857974,3.31682,0.258673,1.35213e-05
FvH4_1g04170,FvH4_2g29940,gbM,teM,wgd,Different,gbM-teM,0.178409,1.86246,0.0957922,4.56314e-126
FvH4_1g04180,FvH4_1g04360,unM,unM,wgd,Same,unM-unM,0.115541,0.127741,0.904498,0.732724
FvH4_1g04230,FvH4_2g30110,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.228634,4.39311,0.0520439,5.07919e-81
FvH4_1g04270,FvH4_1g04280,unM,unM,wgd,Same,unM-unM,0.0912342,0.136484,0.668461,0.0624952
FvH4_1g04400,FvH4_6g31730,unM,unM,wgd,Same,unM-unM,0.274653,2.23425,0.122929,2.66588e-57
FvH4_1g04820,FvH4_6g31460,gbM,gbM,wgd,Same,gbM-gbM,0.184232,2.0367,0.0904562,6.83129e-93
FvH4_1g04850,FvH4_1g03730,gbM,unM,wgd,Different,gbM-unM,0.512987,1.76668,0.290368,1.11222e-05
FvH4_1g04930,FvH4_6g31290,gbM,unM,wgd,Different,gbM-unM,0.474731,4.20247,0.112965,4.69639e-37
FvH4_1g04940,FvH4_6g31240,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.174497,2.31726,0.0753032,4.74371e-25
FvH4_1g04970,FvH4_6g31230,unM,unM,wgd,Same,unM-unM,0.422361,1.79992,0.234655,3.9547e-10
FvH4_1g05170,FvH4_6g31010,gbM,teM,wgd,Different,gbM-teM,0.0854138,2.22196,0.0384408,7.29611e-203
FvH4_1g05670,FvH4_2g35740,unM,teM,wgd,Different,unM-teM,0.471772,4.54399,0.103823,2.73085e-60
FvH4_1g05680,FvH4_2g35730,gbM,gbM,wgd,Same,gbM-gbM,0.185578,4.19311,0.0442579,1.67593e-87
FvH4_1g05730,FvH4_2g35710,gbM,gbM,wgd,Same,gbM-gbM,0.16866,1.69013,0.0997912,3.1211e-56
FvH4_1g05790,FvH4_2g35640,gbM,gbM,wgd,Same,gbM-gbM,0.448763,4.43964,0.101081,9.82399e-60
FvH4_1g05820,FvH4_2g35620,unM,unM,wgd,Same,unM-unM,0.412952,2.60793,0.158344,4.28124e-21
FvH4_1g05840,FvH4_2g35590,gbM,gbM,wgd,Same,gbM-gbM,0.243455,2.0646,0.117919,1.77457e-124
