Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Graimondii,unM-teM,unM,teM,0,0,2,0.00208333333333333,0-0
Graimondii,unM-teM,unM,teM,1,0,11,0.0114583333333333,1-0
Graimondii,unM-teM,unM,teM,0,1,25,0.0260416666666667,0-1
Graimondii,unM-teM,unM,teM,1,1,922,0.960416666666667,1-1
Graimondii,gbM-teM,gbM,teM,0,0,0,0,0-0
Graimondii,gbM-teM,gbM,teM,1,0,6,0.0178041543026706,1-0
Graimondii,gbM-teM,gbM,teM,0,1,12,0.0356083086053412,0-1
Graimondii,gbM-teM,gbM,teM,1,1,319,0.946587537091988,1-1
Graimondii,unM-unM,unM,unM,0,0,17,0.00249339982399531,0-0
Graimondii,unM-unM,unM,unM,1,0,0,0,1-0
Graimondii,unM-unM,unM,unM,0,1,367,0.0538281020827222,0-1
Graimondii,unM-unM,unM,unM,1,1,6434,0.943678498093283,1-1
Graimondii,gbM-unM,gbM,unM,0,0,8,0.0051150895140665,0-0
Graimondii,gbM-unM,gbM,unM,1,0,44,0.0281329923273657,1-0
Graimondii,gbM-unM,gbM,unM,0,1,57,0.0364450127877238,0-1
Graimondii,gbM-unM,gbM,unM,1,1,1455,0.930306905370844,1-1
Graimondii,gbM-gbM,gbM,gbM,0,0,8,0.00350877192982456,0-0
Graimondii,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Graimondii,gbM-gbM,gbM,gbM,0,1,151,0.0662280701754386,0-1
Graimondii,gbM-gbM,gbM,gbM,1,1,2121,0.930263157894737,1-1
Graimondii,teM-teM,teM,teM,0,0,12,0.00869565217391304,0-0
Graimondii,teM-teM,teM,teM,1,0,0,0,1-0
Graimondii,teM-teM,teM,teM,0,1,53,0.0384057971014493,0-1
Graimondii,teM-teM,teM,teM,1,1,1315,0.952898550724638,1-1
