Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Bradi1g05783,Unclassified,Bradi1g39209,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g02130,gbM,Bradi1g53040,gbM,wgd,Same,gbM-gbM
Bradi1g02170,Unclassified,Bradi1g53070,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g02260,Unclassified,Bradi1g53120,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g02460,Unclassified,Bradi1g53182,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g02510,gbM,Bradi1g53207,gbM,wgd,Same,gbM-gbM
Bradi1g02590,gbM,Bradi1g53230,gbM,wgd,Same,gbM-gbM
Bradi1g02720,gbM,Bradi1g53430,gbM,wgd,Same,gbM-gbM
Bradi1g04010,unM,Bradi1g53710,unM,wgd,Same,unM-unM
Bradi1g04040,unM,Bradi1g53720,unM,wgd,Same,unM-unM
Bradi1g04120,gbM,Bradi1g53760,gbM,wgd,Same,gbM-gbM
Bradi1g04150,unM,Bradi1g53770,unM,wgd,Same,unM-unM
Bradi1g04170,unM,Bradi1g53830,unM,wgd,Same,unM-unM
Bradi1g04597,gbM,Bradi1g54250,gbM,wgd,Same,gbM-gbM
Bradi1g04760,gbM,Bradi1g54430,gbM,wgd,Same,gbM-gbM
Bradi1g04780,unM,Bradi1g54440,unM,wgd,Same,unM-unM
Bradi1g04917,gbM,Bradi1g54537,gbM,wgd,Same,gbM-gbM
Bradi1g04957,Unclassified,Bradi1g54620,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g04990,Unclassified,Bradi1g54650,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g05030,Unclassified,Bradi1g54680,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g05037,Unclassified,Bradi1g54690,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bradi1g05056,gbM,Bradi1g54700,gbM,wgd,Same,gbM-gbM
Bradi1g05100,unM,Bradi1g54812,unM,wgd,Same,unM-unM
