Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Bradi1g00219,Bradi4g09232,gbM,unM,wgd,Different,gbM-unM,0.174225,0.716538,0.243148,1.4886e-11
Bradi1g00234,Bradi4g09247,unM,unM,wgd,Same,unM-unM,0.219664,0.660039,0.332805,3.54329e-29
Bradi1g00247,Bradi4g09320,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0319914,0.203255,0.157396,3.13195e-07
Bradi1g00266,Bradi4g09457,gbM,gbM,wgd,Same,gbM-gbM,0.0265171,0.131183,0.202138,3.182e-07
Bradi1g00278,Bradi4g09622,unM,unM,wgd,Same,unM-unM,0.493102,1.48594,0.331845,0.00033693
Bradi1g02130,Bradi1g53040,gbM,gbM,wgd,Same,gbM-gbM,0.280056,1.16952,0.239461,1.2094e-15
Bradi1g02170,Bradi1g53070,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0688634,0.945459,0.072836,4.30343e-39
Bradi1g02260,Bradi1g53120,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.21187,1.50782,0.140514,6.60977e-37
Bradi1g02460,Bradi1g53182,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.300156,0.849981,0.353132,6.92953e-07
Bradi1g02510,Bradi1g53207,gbM,gbM,wgd,Same,gbM-gbM,0.0613768,0.849805,0.0722246,5.84561e-136
Bradi1g02590,Bradi1g53230,gbM,gbM,wgd,Same,gbM-gbM,0.16327,1.05686,0.154486,8.27896e-16
Bradi1g02720,Bradi1g53430,gbM,gbM,wgd,Same,gbM-gbM,0.119636,1.51238,0.0791042,2.54073e-61
Bradi1g03590,Bradi1g66800,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.283425,1.6625,0.170481,8.56508e-36
Bradi1g03595,Bradi2g54731,unM,unM,wgd,Same,unM-unM,0.357153,1.71075,0.20877,2.46507e-05
Bradi1g03620,Bradi2g54670,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.438727,4.53858,0.0966661,2.14938e-61
Bradi1g03650,Bradi1g66660,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.229357,4.12669,0.0555788,4.23637e-84
Bradi1g03710,Bradi1g66597,unM,unM,wgd,Same,unM-unM,0.512698,3.81851,0.134266,1.78999e-24
Bradi1g03720,Bradi1g66470,gbM,unM,wgd,Different,gbM-unM,0.0571539,4.3196,0.0132313,0
Bradi1g03720,Bradi2g54570,gbM,unM,wgd,Different,gbM-unM,0.040617,4.40492,0.00922082,4.4794e-228
Bradi1g03810,Bradi1g66330,unM,unM,wgd,Same,unM-unM,0.411189,3.26761,0.125838,9.06858e-21
Bradi1g03820,Bradi2g54460,gbM,gbM,wgd,Same,gbM-gbM,0.0525975,2.07443,0.0253551,1.23273e-57
Bradi1g03880,Bradi1g53650,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.304159,2.23385,0.136159,4.50111e-36
Bradi1g03900,Bradi1g53660,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.165179,2.58074,0.0640044,7.12781e-29
Bradi1g04010,Bradi1g53710,unM,unM,wgd,Same,unM-unM,0.334656,3.34685,0.0999913,0
Bradi1g04040,Bradi1g53720,unM,unM,wgd,Same,unM-unM,0.428086,3.05559,0.140099,1.81773e-12
Bradi1g04120,Bradi1g53760,gbM,gbM,wgd,Same,gbM-gbM,0.113616,1.38037,0.0823086,5.62508e-33
Bradi1g04150,Bradi1g53770,unM,unM,wgd,Same,unM-unM,0.233351,3.42645,0.0681029,6.66216e-42
Bradi1g04170,Bradi1g53830,unM,unM,wgd,Same,unM-unM,0.567721,3.59895,0.157746,2.23708e-15
Bradi1g04220,Bradi1g53862,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.00901155,1.18654,0.0075948,3.71274e-46
Bradi1g04510,Bradi1g54180,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.462518,1.07257,0.431223,2.62545e-08
Bradi1g04597,Bradi1g54250,gbM,gbM,wgd,Same,gbM-gbM,0.051566,1.06008,0.0486435,9.87728e-160
Bradi1g04660,Bradi1g54270,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0486194,1.38861,0.035013,5.63953e-49
Bradi1g04740,Bradi1g54370,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0750516,0.872384,0.0860304,2.76902e-14
Bradi1g04760,Bradi1g54430,gbM,gbM,wgd,Same,gbM-gbM,0.120916,2.25723,0.0535681,1.38056e-40
Bradi1g04780,Bradi1g54440,unM,unM,wgd,Same,unM-unM,0.407274,3.6718,0.110919,4.24821e-26
Bradi1g04917,Bradi1g54537,gbM,gbM,wgd,Same,gbM-gbM,0.0983485,0.75558,0.130163,3.46567e-71
Bradi1g04957,Bradi1g54620,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.171576,1.01399,0.169209,9.45796e-52
Bradi1g04990,Bradi1g54650,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.173501,1.10664,0.156781,1.00727e-56
Bradi1g05030,Bradi1g54680,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0332732,0.863166,0.0385479,2.95619e-35
Bradi1g05037,Bradi1g54690,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.195899,0.618775,0.316592,1.12389e-09
Bradi1g05056,Bradi1g54700,gbM,gbM,wgd,Same,gbM-gbM,0.255041,0.917172,0.278073,5.52407e-29
Bradi1g05100,Bradi1g54812,unM,unM,wgd,Same,unM-unM,0.272966,3.8452,0.0709887,6.69902e-51
Bradi1g05130,Bradi1g54880,gbM,gbM,wgd,Same,gbM-gbM,0.419932,1.15888,0.36236,1.61107e-16
Bradi1g05162,Bradi1g54977,gbM,unM,wgd,Different,gbM-unM,0.195546,2.10782,0.092772,8.21704e-100
Bradi1g05180,Bradi1g54990,unM,unM,wgd,Same,unM-unM,0.169101,4.14505,0.0407958,1.23636e-125
