Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Sbicolor,gbM-unM,gbM,unM,0,0,0,0,0-0
Sbicolor,gbM-unM,gbM,unM,1,0,7,0.00721649484536083,1-0
Sbicolor,gbM-unM,gbM,unM,0,1,6,0.00618556701030928,0-1
Sbicolor,gbM-unM,gbM,unM,1,1,957,0.98659793814433,1-1
Sbicolor,gbM-teM,gbM,teM,1,1,213,1,1-1
Sbicolor,gbM-teM,gbM,teM,0,0,0,0,0-0
Sbicolor,gbM-teM,gbM,teM,1,0,0,0,1-0
Sbicolor,gbM-teM,gbM,teM,0,1,0,0,0-1
Sbicolor,unM-unM,unM,unM,0,0,0,0,0-0
Sbicolor,unM-unM,unM,unM,1,0,0,0,1-0
Sbicolor,unM-unM,unM,unM,0,1,42,0.011251004553978,0-1
Sbicolor,unM-unM,unM,unM,1,1,3691,0.988748995446022,1-1
Sbicolor,unM-teM,unM,teM,0,1,7,0.0194444444444444,0-1
Sbicolor,unM-teM,unM,teM,1,1,353,0.980555555555556,1-1
Sbicolor,unM-teM,unM,teM,0,0,0,0,0-0
Sbicolor,unM-teM,unM,teM,1,0,0,0,1-0
Sbicolor,gbM-gbM,gbM,gbM,0,0,0,0,0-0
Sbicolor,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Sbicolor,gbM-gbM,gbM,gbM,0,1,10,0.00806451612903226,0-1
Sbicolor,gbM-gbM,gbM,gbM,1,1,1230,0.991935483870968,1-1
Sbicolor,teM-teM,teM,teM,0,0,1,0.00251256281407035,0-0
Sbicolor,teM-teM,teM,teM,1,0,0,0,1-0
Sbicolor,teM-teM,teM,teM,0,1,13,0.0326633165829146,0-1
Sbicolor,teM-teM,teM,teM,1,1,384,0.964824120603015,1-1
