Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Brapa,gbM,0,gbM-gbM,0,0
Brapa,gbM,1,gbM-gbM,6,1
Brapa,gbM,0,gbM-teM,7,0.116666666666667
Brapa,teM,0,gbM-teM,9,0.115384615384615
Brapa,gbM,1,gbM-teM,53,0.883333333333333
Brapa,teM,1,gbM-teM,69,0.884615384615385
Brapa,gbM,0,gbM-unM,9,0.116883116883117
Brapa,unM,0,gbM-unM,10,0.123456790123457
Brapa,gbM,1,gbM-unM,68,0.883116883116883
Brapa,unM,1,gbM-unM,71,0.876543209876543
Brapa,teM,0,teM-teM,171,0.108986615678776
Brapa,teM,1,teM-teM,1398,0.891013384321224
Brapa,unM,0,unM-teM,100,0.102880658436214
Brapa,teM,0,unM-teM,48,0.0509013785790032
Brapa,unM,1,unM-teM,872,0.897119341563786
Brapa,teM,1,unM-teM,895,0.949098621420997
Brapa,unM,0,unM-unM,3092,0.112925020999963
Brapa,unM,1,unM-unM,24289,0.887074979000037
