Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
ChrSy.fgenesh.gene.12,ChrUn.fgenesh.gene.5,teM,teM,wgd,Same,teM-teM,0.375382,4.36377,0.0860225,6.71993e-88
ChrSy.fgenesh.gene.2,ChrSy.fgenesh.gene.79,teM,teM,wgd,Same,teM-teM,0.750842,3.78295,0.198481,1.63329e-07
ChrSy.fgenesh.gene.22,ChrSy.fgenesh.gene.77,teM,teM,wgd,Same,teM-teM,0.719748,5.20577,0.13826,3.37702e-73
ChrSy.fgenesh.gene.48,ChrUn.fgenesh.gene.51,teM,teM,wgd,Same,teM-teM,0.194645,5.09078,0.0382348,1.67799e-228
LOC_Os01g06270,LOC_Os05g06980,gbM,gbM,wgd,Same,gbM-gbM,0.181434,0.761827,0.238156,1.52368e-25
LOC_Os01g06290,LOC_Os05g07000,gbM,gbM,wgd,Same,gbM-gbM,0.422832,1.67213,0.25287,3.80644e-20
LOC_Os01g06320,LOC_Os05g07010,unM,unM,wgd,Same,unM-unM,0.465164,3.7269,0.124812,6.67041e-21
LOC_Os01g06510,LOC_Os05g07030,gbM,gbM,wgd,Same,gbM-gbM,0.128074,1.39668,0.0916994,2.38926e-91
LOC_Os01g06580,LOC_Os05g07060,unM,unM,wgd,Same,unM-unM,0.224498,1.98375,0.113169,5.75703e-24
LOC_Os01g06590,LOC_Os05g07070,gbM,gbM,wgd,Same,gbM-gbM,0.442286,0.99286,0.445466,3.00256e-08
LOC_Os01g06640,LOC_Os05g07120,unM,unM,wgd,Same,unM-unM,0.308933,1.27038,0.243182,3.58679e-13
LOC_Os01g07140,LOC_Os05g07220,gbM,gbM,wgd,Same,gbM-gbM,0.429673,1.51488,0.283635,1.09141e-21
LOC_Os01g07150,LOC_Os05g07240,unM,unM,wgd,Same,unM-unM,0.271868,3.06423,0.0887232,0
LOC_Os01g07310,LOC_Os05g07670,gbM,gbM,wgd,Same,gbM-gbM,0.0470596,1.02189,0.0460518,4.34789e-59
LOC_Os01g07360,LOC_Os05g07680,gbM,gbM,wgd,Same,gbM-gbM,0.515635,2.38783,0.215943,1.68535e-26
LOC_Os01g07400,LOC_Os05g07710,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.249544,1.71847,0.145213,7.30561e-33
