Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Bo00285s200,Bo7g030260,gbM,teM,wgd,Different,gbM-teM,0.430698,0.868752,0.495766,0.000317667
Bo00285s220,Bo7g082640,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.10294,0.333149,0.308993,2.37089e-07
Bo00285s240,Bo7g082650,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.028763,0.27657,0.103999,5.48463e-15
Bo00534s070,Bo6g031600,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.117385,0.384994,0.3049,3.80881e-09
Bo00534s170,Bo6g031500,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.114706,0.241803,0.474376,0.0017685
Bo00534s230,Bo6g031430,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0566321,0.424949,0.133268,1.00154e-61
Bo00578s060,Bo6g062110,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.160301,0.353032,0.45407,3.66499e-06
Bo00578s140,Bo6g062180,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0618396,0.508661,0.121573,6.99984e-07
Bo00578s190,Bo6g062200,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0322089,0.27514,0.117064,1.74761e-76
Bo00615s010,Bo3g099170,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0473245,0.532025,0.0889515,3.58396e-46
Bo00615s060,Bo3g099260,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0644133,0.397605,0.162003,1.29682e-28
Bo00615s120,Bo3g099330,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0906222,0.294921,0.307276,1.64808e-08
Bo00615s260,Bo3g100470,unM,teM,wgd,Different,unM-teM,0.265719,0.353289,0.752131,0.239682
Bo00629s060,Bo9g154330,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0596433,0.481827,0.123786,1.49717e-25
Bo00629s080,Bo9g154360,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0932371,0.444973,0.209534,1.11382e-16
Bo00629s220,Bo9g154680,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0336657,0.28347,0.118763,2.66235e-14
Bo00629s230,Bo9g154690,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0999812,0.453062,0.220679,3.75771e-29
