Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Bo9g084730,teM,Bo00285s010,teM,wgd,Same,teM-teM
Bo8g028800,teM,Bo00285s050,teM,wgd,Same,teM-teM
Bo9g097120,teM,Bo00285s060,teM,wgd,Same,teM-teM
Bo9g084560,teM,Bo00285s080,teM,wgd,Same,teM-teM
Bo7g029100,teM,Bo00285s190,teM,wgd,Same,teM-teM
Bo9g084420,teM,Bo00285s210,teM,wgd,Same,teM-teM
Bo7g030450,teM,Bo00285s250,teM,wgd,Same,teM-teM
Bo9g097560,teM,Bo00285s300,teM,wgd,Same,teM-teM
Bo7g082690,unM,Bo00285s310,unM,wgd,Same,unM-unM
Bo7g082700,unM,Bo00285s340,unM,wgd,Same,unM-unM
Bo9g084320,teM,Bo00285s350,teM,wgd,Same,teM-teM
Bo7g083780,unM,Bo00285s360,unM,wgd,Same,unM-unM
Bo7g083810,Unclassified,Bo00285s380,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bo7g083830,unM,Bo00285s390,unM,wgd,Same,unM-unM
Bo7g083850,unM,Bo00285s410,unM,wgd,Same,unM-unM
Bo7g083870,Unclassified,Bo00285s440,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bo7g083890,unM,Bo00285s450,unM,wgd,Same,unM-unM
Bo7g030620,teM,Bo00285s480,teM,wgd,Same,teM-teM
Bo7g030630,teM,Bo00285s490,teM,wgd,Same,teM-teM
Bo9g083230,teM,Bo00285s520,teM,wgd,Same,teM-teM
Bo7g083910,unM,Bo00285s530,unM,wgd,Same,unM-unM
Bo7g083930,unM,Bo00285s570,unM,wgd,Same,unM-unM
Bo7g084010,Unclassified,Bo00285s630,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bo2g102210,teM,Bo00452s040,teM,wgd,Same,teM-teM
Bo2g102230,teM,Bo00452s050,teM,wgd,Same,teM-teM
Bo2g104430,teM,Bo00452s090,teM,wgd,Same,teM-teM
Bo2g104670,teM,Bo00452s170,teM,wgd,Same,teM-teM
Bo2g104700,teM,Bo00452s180,teM,wgd,Same,teM-teM
Bo2g104720,teM,Bo00452s190,teM,wgd,Same,teM-teM
Bo6g031520,unM,Bo00534s150,unM,wgd,Same,unM-unM
Bo6g031510,Unclassified,Bo00534s160,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bo6g031470,unM,Bo00534s210,unM,wgd,Same,unM-unM
Bo8g082900,Unclassified,Bo00576s110,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Bo6g067580,unM,Bo00576s170,unM,wgd,Same,unM-unM
Bo6g062100,unM,Bo00578s040,unM,wgd,Same,unM-unM
Bo6g062150,teM,Bo00578s080,teM,wgd,Same,teM-teM
Bo6g062160,unM,Bo00578s090,unM,wgd,Same,unM-unM
