Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Aduranensis,gbM,0,gbM-gbM,54,0.0237676056338028
Aduranensis,gbM,1,gbM-gbM,2218,0.976232394366197
Aduranensis,gbM,0,gbM-teM,9,0.0201793721973094
Aduranensis,teM,0,gbM-teM,14,0.023972602739726
Aduranensis,gbM,1,gbM-teM,437,0.979820627802691
Aduranensis,teM,1,gbM-teM,570,0.976027397260274
Aduranensis,gbM,0,gbM-unM,23,0.0222652468538238
Aduranensis,unM,0,gbM-unM,19,0.0175763182238668
Aduranensis,gbM,1,gbM-unM,1010,0.977734753146176
Aduranensis,unM,1,gbM-unM,1062,0.982423681776133
Aduranensis,teM,0,teM-teM,165,0.0203703703703704
Aduranensis,teM,1,teM-teM,7935,0.97962962962963
Aduranensis,unM,0,unM-teM,21,0.024390243902439
Aduranensis,teM,0,unM-teM,16,0.0171122994652406
Aduranensis,unM,1,unM-teM,840,0.975609756097561
Aduranensis,teM,1,unM-teM,919,0.982887700534759
Aduranensis,unM,0,unM-unM,68,0.0145641464981795
Aduranensis,unM,1,unM-unM,4601,0.985435853501821
Aipaensis,gbM,0,gbM-gbM,37,0.0230817217716781
Aipaensis,gbM,1,gbM-gbM,1566,0.976918278228322
Aipaensis,gbM,0,gbM-teM,4,0.00785854616895874
Aipaensis,teM,0,gbM-teM,2,0.00291120815138282
Aipaensis,gbM,1,gbM-teM,505,0.992141453831041
Aipaensis,teM,1,gbM-teM,685,0.997088791848617
Aipaensis,gbM,0,gbM-unM,24,0.0227488151658768
Aipaensis,unM,0,gbM-unM,27,0.024390243902439
Aipaensis,gbM,1,gbM-unM,1031,0.977251184834123
Aipaensis,unM,1,gbM-unM,1080,0.975609756097561
Aipaensis,teM,0,teM-teM,248,0.0187481100695494
Aipaensis,teM,1,teM-teM,12980,0.981251889930451
Aipaensis,unM,0,unM-teM,21,0.0175879396984925
Aipaensis,teM,0,unM-teM,9,0.00663716814159292
Aipaensis,unM,1,unM-teM,1173,0.982412060301508
Aipaensis,teM,1,unM-teM,1347,0.993362831858407
Aipaensis,unM,0,unM-unM,82,0.0146507057352153
Aipaensis,unM,1,unM-unM,5515,0.985349294264785
Alyrata,gbM,0,gbM-gbM,739,0.255267702936097
Alyrata,gbM,1,gbM-gbM,2156,0.744732297063903
Alyrata,gbM,0,gbM-teM,26,0.156626506024096
Alyrata,teM,0,gbM-teM,13,0.0714285714285714
Alyrata,gbM,1,gbM-teM,140,0.843373493975904
Alyrata,teM,1,gbM-teM,169,0.928571428571429
Alyrata,gbM,0,gbM-unM,239,0.242147922998987
Alyrata,unM,0,gbM-unM,220,0.22022022022022
Alyrata,gbM,1,gbM-unM,748,0.757852077001013
Alyrata,unM,1,gbM-unM,779,0.77977977977978
Alyrata,teM,0,teM-teM,45,0.0484913793103448
Alyrata,teM,1,teM-teM,883,0.951508620689655
