Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification,Duplicate.1_tau,Duplicate.2_tau,absdiff,Correlation
AT1G01030,unM,AT4G01500,unM,transposed,Same,unM-unM,0.55654870097244,0.488889128274179,0.0676595726982608,0.0862069048837699
AT1G01050,Unclassified,AT4G01480,Unclassified,transposed,Undetermined,Unclassified-Unclassified,0.35153555740876,0.154629034711602,0.196906522697158,0.671623403570345
AT1G01050,unM,AT2G46860,Unclassified,wgd,Undetermined,unM-Unclassified,0.784307744147383,0.154629034711602,0.629678709435781,0.647417294333291
AT1G01100,unM,AT5G24510,unM,transposed,Same,unM-unM,0.648072912485757,0.214676823632565,0.433396088853192,0.0561821842595402
AT1G01240,gbM,AT2G46550,unM,wgd,Different,gbM-unM,0.173748393848561,0.331965517560969,0.158217123712408,0.811927828662416
AT1G01260,Unclassified,AT4G16430,Unclassified,transposed,Undetermined,Unclassified-Unclassified,0.140495579445564,0.154230651700715,0.013735072255151,0.497840864974032
AT1G01340,unM,AT4G01010,Unclassified,wgd,Undetermined,unM-Unclassified,0.482403708883896,0.45130551526462,0.0310981936192759,0.81264045289114
AT1G01360,unM,AT4G27920,unM,transposed,Same,unM-unM,0.663565009083506,0.314234924138297,0.349330084945208,0.00201157122641089
AT1G01360,unM,AT5G53160,unM,transposed,Same,unM-unM,0.247354176373526,0.314234924138297,0.0668807477647716,0.159726057065387
AT1G01420,unM,AT1G01390,unM,proximal,Same,unM-unM,0.594543744553898,0.511383517734843,0.0831602268190546,0.776158591859305
AT1G01450,gbM,AT1G64300,Unclassified,transposed,Undetermined,gbM-Unclassified,0.52226585606606,0.21120794645635,0.31105790960971,-0.115127506052927
AT1G01540,Unclassified,AT4G02630,Unclassified,transposed,Undetermined,Unclassified-Unclassified,0.199426385394318,0.153960451196261,0.0454659341980568,0.502057736332349
AT1G01550,unM,AT4G01360,Unclassified,wgd,Undetermined,unM-Unclassified,0.532509285625103,0.213181917086702,0.319327368538401,0.383018709623656
AT1G01560,gbM,AT4G01370,unM,wgd,Different,gbM-unM,0.0913195721551163,0.547843771000334,0.456524198845218,0.39367955539754
AT1G01590,unM,AT1G01580,unM,tandem,Same,unM-unM,0.661320294435329,0.613047350072361,0.0482729443629685,0.084980995268617
AT1G01680,gbM,AT1G01670,unM,tandem,Different,gbM-unM,0.26653606572036,0.682934659232168,0.416398593511808,0.220095660034634
AT1G01695,gbM,AT4G00440,unM,wgd,Different,gbM-unM,0.150333431284826,0.394429996466969,0.244096565182143,-0.176638134302132
AT1G01740,gbM,AT4G00710,Unclassified,transposed,Undetermined,gbM-Unclassified,0.142563789119344,0.200350028621581,0.0577862395022374,0.0418169881619662
AT1G01750,unM,AT4G25590,Unclassified,transposed,Undetermined,unM-Unclassified,0.817428610631534,0.500625488273549,0.316803122357985,0.412124725789437
AT1G01790,gbM,AT4G00630,Unclassified,wgd,Undetermined,gbM-Unclassified,0.126265449138234,0.213775076200753,0.0875096270625189,0.564789635468084
AT1G01820,gbM,AT3G61070,unM,wgd,Different,gbM-unM,0.228189010637558,0.200974810707483,0.0272141999300752,0.000655991478462509
AT1G02205,unM,AT1G02190,unM,tandem,Same,unM-unM,0.527976367173551,0.302473046290125,0.225503320883426,0.312503761859247
AT1G02230,unM,AT1G02220,unM,tandem,Same,unM-unM,0.596399525993721,0.629928762539065,0.0335292365453443,0.259032705636381
AT1G02250,unM,AT1G02230,unM,tandem,Same,unM-unM,0.629928762539065,0.750085370148983,0.120156607609917,0.236724936559908
AT1G02305,unM,AT1G02300,Unclassified,tandem,Undetermined,unM-Unclassified,0.29008398803046,0.203775168232663,0.0863088197977975,0.536451956118915
AT1G02360,gbM,AT4G01700,unM,wgd,Different,gbM-unM,0.446231887127014,0.71293715127401,0.266705264146995,0.422700546015491
AT1G02430,unM,AT1G02440,Unclassified,tandem,Undetermined,unM-Unclassified,0.664123653328661,0.381621139189794,0.282502514138867,0.825264950963159
AT1G02475,unM,AT1G02470,unM,tandem,Same,unM-unM,0.523241049004501,0.182455662946984,0.340785386057517,0.0165107977787131
AT1G02530,gbM,AT1G02520,Unclassified,tandem,Undetermined,gbM-Unclassified,0.535545060669217,0.610343066448998,0.0747980057797811,0.148034410928869
AT1G02550,unM,AT3G36659,unM,transposed,Same,unM-unM,0.793529598566315,0.807762031860713,0.0142324332943984,0.145762452391803
