Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
AL1G10490,AL4G44910,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.279468,2.4737,0.112976,8.05265e-76
AL1G10540,AL5G43490,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.27149,2.86247,0.0948447,1.26351e-39
AL1G10550,AL6G52810,gbM,gbM,wgd,Same,gbM-gbM,0.103347,0.648804,0.159288,8.13898e-83
AL1G10560,AL4G45010,unM,unM,wgd,Same,unM-unM,0.154079,3.51136,0.0438801,6.62767e-71
AL1G10640,AL6G52950,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.371899,0.593515,0.626604,0.0644557
AL1G10650,AL6G52960,gbM,gbM,wgd,Same,gbM-gbM,0.213866,0.604936,0.353536,8.53995e-13
AL1G10690,AL5G43670,unM,unM,wgd,Same,unM-unM,0.56028,3.82135,0.146618,1.12434e-30
AL1G10760,AL6G53040,unM,unM,wgd,Same,unM-unM,0.0166679,0.62091,0.0268444,1.49207e-48
AL1G10770,AL6G53050,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0487419,1.62862,0.0299283,5.23378e-104
AL1G10780,AL4G45190,unM,teM,wgd,Different,unM-teM,0.12162,1.53269,0.0793508,5.92087e-92
AL1G10780,AL6G53070,unM,unM,wgd,Same,unM-unM,0.0587886,1.07637,0.0546173,7.26973e-80
AL1G10800,AL6G53190,unM,unM,wgd,Same,unM-unM,0.258726,1.18878,0.21764,1.72941e-41
AL1G10830,AL6G53210,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.269412,1.42643,0.188871,2.99511e-46
AL1G10850,AL6G52050,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.297541,1.0764,0.276422,2.41165e-12
AL1G10860,AL6G52070,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0649144,1.35115,0.0480439,1.43827e-79
AL1G10890,AL6G52110,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.232609,0.678886,0.342633,2.69645e-08
AL1G10930,AL5G43870,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.220603,4.30457,0.0512486,3.93558e-94
AL1G10960,AL6G52190,unM,unM,wgd,Same,unM-unM,0.189824,1.0807,0.175648,1.03889e-31
AL1G10980,AL6G52250,unM,unM,wgd,Same,unM-unM,0.20108,0.800123,0.251311,4.77594e-15
AL1G11020,AL6G52280,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.218523,1.67509,0.130454,4.90052e-37
AL1G11030,AL6G52290,unM,unM,wgd,Same,unM-unM,0.1703,1.00783,0.168977,4.9532e-31
AL1G11070,AL5G44160,unM,unM,wgd,Same,unM-unM,0.265199,2.82717,0.0938037,6.57434e-23
AL1G11070,AL6G52310,unM,unM,wgd,Same,unM-unM,0.173685,0.488646,0.355441,0.00847979
AL1G11100,AL6G52380,gbM,unM,wgd,Different,gbM-unM,0.381598,1.57619,0.242101,0.00020944
AL1G11160,AL5G44380,unM,unM,wgd,Same,unM-unM,0.203718,4.39841,0.0463163,2.27741e-90
AL1G11220,AL4G45980,gbM,gbM,wgd,Same,gbM-gbM,0.453009,2.54543,0.177969,5.57343e-24
AL1G11250,AL6G52480,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.146253,2.60051,0.0562401,3.26751e-30
AL1G11290,AL4G46100,unM,unM,wgd,Same,unM-unM,0.197735,1.70707,0.115833,3.37639e-74
AL1G11330,AL6G52600,unM,unM,wgd,Same,unM-unM,0.11188,1.18199,0.0946545,6.88825e-12
AL1G11340,AL6G52610,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.174959,1.37351,0.12738,1.08523e-12
AL1G11410,AL6G52640,unM,unM,wgd,Same,unM-unM,0.168361,1.3861,0.121463,5.3018e-53
AL1G11420,AL6G52650,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.051631,0.883922,0.0584112,1.36559e-19
AL1G11450,AL6G51960,unM,unM,wgd,Same,unM-unM,0.169414,2.59763,0.0652185,2.41504e-36
AL1G11460,AL4G46300,gbM,gbM,wgd,Same,gbM-gbM,0.510174,4.46791,0.114186,7.02864e-50
AL1G11510,AL6G51830,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.201114,0.547787,0.367139,7.72717e-08
AL1G11670,AL5G44640,unM,unM,wgd,Same,unM-unM,0.199162,1.75036,0.113784,5.14688e-30
AL1G11720,AL6G51260,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.230205,1.20284,0.191384,2.5759e-23
AL1G11740,AL6G51340,unM,unM,wgd,Same,unM-unM,0.136528,1.38874,0.0983107,3.64225e-54
AL1G11800,AL6G51400,unM,unM,wgd,Same,unM-unM,0.171722,1.20625,0.14236,5.72926e-44
AL1G11810,AL6G51410,unM,unM,wgd,Same,unM-unM,0.449186,3.79563,0.118343,1.06706e-22
AL1G11810,AL6G51410,unM,unM,wgd,Same,unM-unM,0.449186,3.79563,0.118343,1.06706e-22
AL1G11860,AL5G44800,gbM,gbM,wgd,Same,gbM-gbM,0.171514,2.03944,0.0840985,1.18654e-216
AL1G11860,AL6G51480,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.10373,1.3919,0.0745243,1.64808e-157
AL1G11880,AL4G46900,unM,unM,wgd,Same,unM-unM,0.493084,2.44186,0.20193,3.091e-17
AL1G11900,AL4G46920,unM,unM,wgd,Same,unM-unM,0.528252,2.15321,0.245332,2.95235e-12
AL1G11940,AL6G51150,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.00477268,0.699267,0.00682525,8.15825e-38
AL1G11990,AL6G51130,unM,unM,wgd,Same,unM-unM,0.186696,1.02184,0.182707,4.17965e-38
AL1G12000,AL5G45340,gbM,gbM,wgd,Same,gbM-gbM,0.334901,4.5526,0.0735625,4.95228e-75
AL1G12070,AL6G51030,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.290319,1.88129,0.154319,2.71933e-10
AL1G12090,AL5G45410,unM,unM,wgd,Same,unM-unM,0.14256,2.57208,0.0554259,8.21488e-71
AL1G12130,AL6G50930,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.316772,0.857737,0.369312,4.41145e-06
AL1G12150,AL6G50900,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0499087,1.25999,0.0396105,3.64226e-26
AL1G12170,AL6G50840,unM,unM,wgd,Same,unM-unM,0.107071,0.964603,0.111,7.00185e-37
AL1G12180,AL4G47130,unM,unM,wgd,Same,unM-unM,0.274567,2.82563,0.0971699,1.39878e-70
AL1G12180,AL6G50790,unM,unM,wgd,Same,unM-unM,0.142204,1.31806,0.107889,1.39285e-49
AL1G12190,AL6G50750,unM,unM,wgd,Same,unM-unM,0.480697,1.75893,0.27329,5.66697e-07
AL1G12210,AL6G50740,unM,unM,wgd,Same,unM-unM,0.22668,0.541048,0.418966,0.00246734
AL1G12240,AL6G50640,gbM,gbM,wgd,Same,gbM-gbM,0.0546773,0.677395,0.0807169,1.92624e-31
AL1G12290,AL6G50610,gbM,gbM,wgd,Same,gbM-gbM,0.183844,1.18019,0.155775,1.35975e-21
AL1G12330,AL6G50580,gbM,gbM,wgd,Same,gbM-gbM,0.0966538,0.641215,0.150735,3.94312e-94
AL1G12360,AL4G47300,unM,unM,wgd,Same,unM-unM,0.349865,2.19942,0.159072,7.42976e-20
AL1G12440,AL5G45670,gbM,gbM,wgd,Same,gbM-gbM,0.697021,4.89728,0.142328,2.50308e-54
AL1G12460,AL4G47440,unM,unM,wgd,Same,unM-unM,0.246343,4.55536,0.0540776,1.03251e-123
AL1G12500,AL6G50400,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.167504,1.62872,0.102844,5.1582e-84
AL1G12520,AL6G50380,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0944051,0.508698,0.185582,1.86771e-197
AL1G12530,AL6G50340,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0909317,1.08115,0.0841064,5.68014e-36
AL1G12540,AL6G50320,gbM,gbM,wgd,Same,gbM-gbM,0.195446,0.759297,0.257403,7.5874e-48
AL1G12600,AL6G50160,unM,unM,wgd,Same,unM-unM,0.0457988,0.79354,0.0577145,1.737e-30
AL1G12660,AL6G50120,unM,unM,wgd,Same,unM-unM,0.293256,1.15472,0.253962,3.50854e-10
AL1G12710,AL6G50090,gbM,gbM,wgd,Same,gbM-gbM,0.0131131,0.521892,0.0251261,4.98574e-16
AL1G12800,AL6G50040,gbM,gbM,wgd,Same,gbM-gbM,0.2487,0.693792,0.358464,4.58169e-14
AL1G12850,AL6G50010,gbM,gbM,wgd,Same,gbM-gbM,0.235048,0.647021,0.363277,3.4501e-11
AL1G12860,AL6G50000,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0317643,0.723527,0.043902,2.54648e-66
AL1G12890,AL6G49930,gbM,gbM,wgd,Same,gbM-gbM,0.182507,0.626105,0.291497,1.37665e-26
AL1G12940,AL6G49920,unM,unM,wgd,Same,unM-unM,0.0815227,1.03676,0.078632,7.76094e-50
AL1G12960,AL6G49840,gbM,gbM,wgd,Same,gbM-gbM,0.139666,1.0721,0.130273,7.32343e-36
AL1G13030,AL6G49580,gbM,gbM,wgd,Same,gbM-gbM,0.100196,1.28206,0.0781518,2.0252e-54
AL1G13110,AL6G49450,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0710247,0.660879,0.10747,1.76304e-26
AL1G13160,AL6G49420,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.460266,2.11195,0.217934,6.54597e-13
AL1G13170,AL6G49370,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.112716,0.65151,0.173007,1.31179e-14
AL1G13190,AL6G49360,unM,unM,wgd,Same,unM-unM,0.0951432,0.654389,0.145392,6.36857e-16
AL1G13200,AL6G49220,unM,teM,wgd,Different,unM-teM,0.656403,3.48452,0.188377,6.35265e-10
AL1G13270,AL6G49180,unM,unM,wgd,Same,unM-unM,0.0823523,0.766661,0.107417,4.60996e-21
